@_fa,affiliation-url,afid,affilname,affiliation-city,affiliation-country,entry_number
true,https://api.elsevier.com/content/affiliation/affiliation_id/60279163,60279163,Fred Hutchinson Cancer Center,Seattle,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60274640,60274640,RIKEN Center for Integrative Medical Sciences,Yokohama,Japan,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60253102,60253102,Novo Nordisk Foundation Center for Basic Metabolic Research,Copenhagen,Denmark,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60196727,60196727,"College of Medicine, Qatar University",Doha,Qatar,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60185923,60185923,Graduate School of Medical Sciences,Fukuoka,Japan,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60178602,60178602,Graduate School of Medicine,Tokyo,Japan,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60175967,60175967,Graduate School of Medicine,Suita,Japan,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60175886,60175886,MRC Centre for Environment and Health,London,United Kingdom,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60172455,60172455,MRC Integrative Epidemiology Unit,Bristol,United Kingdom,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60171764,60171764,Bristol Medical School,Bristol,United Kingdom,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60138297,60138297,The Lundquist Institute,Torrance,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60120011,60120011,Department of Public Health and Primary Care,Cambridge,United Kingdom,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60119317,60119317,Graduate School of Medicine,Kyoto,Japan,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60112785,60112785,CNR Istituto di Ricerca Genetica e Biomedica,Monserrato,Italy,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60111785,60111785,Imperial College Healthcare NHS Trust,London,United Kingdom,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60111707,60111707,University of Exeter Medical School,Exeter,United Kingdom,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60110825,60110825,Edinburgh Medical School,Edinburgh,United Kingdom,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60104546,60104546,Terveyden ja Hyvinvoinnin Laitos,Helsinki,Finland,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60103339,60103339,Huck Institutes of the Life Sciences,University Park,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60099539,60099539,The Wellcome Centre for Human Genetics,Oxford,United Kingdom,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60079992,60079992,University of the Witwatersrand Faculty of Health Sciences,Johannesburg,South Africa,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60071132,60071132,Landspitali - The National University Hospital of Iceland,Reykjavik,Iceland,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60071123,60071123,deCODE genetics,Reykjavik,Iceland,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60071113,60071113,Haskoli Islands,Reykjavik,Iceland,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60068695,60068695,Korea National Institute of Health,Cheongju,South Korea,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60033182,60033182,University of Michigan Medical School,Ann Arbor,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60032838,60032838,Stanford University School of Medicine,Stanford,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60032768,60032768,Glasgow Cardiovascular Research Centre,Glasgow,United Kingdom,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60032499,60032499,Harvard T.H. Chan School of Public Health,Boston,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60032114,60032114,Erasmus MC,Rotterdam,Netherlands,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030846,60030846,University of Virginia School of Medicine,Charlottesville,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030807,60030807,Universität Regensburg,Regensburg,Germany,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030769,60030769,Vanderbilt University Medical Center,Nashville,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030521,60030521,Boston Children's Hospital,Boston,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030440,60030440,Cincinnati Children's Hospital Medical Center,Cincinnati,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60029929,60029929,Massachusetts General Hospital,Boston,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60028084,60028084,VA Palo Alto Health Care System,Palo Alto,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60027887,60027887,Ealing Hospital,Southall,United Kingdom,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60027272,60027272,The University of Edinburgh,Edinburgh,United Kingdom,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60026285,60026285,SIB Swiss Institute of Bioinformatics,Lausanne,Switzerland,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60026209,60026209,"Genentech, Inc",San Francisco,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60025778,60025778,"University of Michigan, Ann Arbor",Ann Arbor,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60025315,60025315,Rollins School of Public Health,Atlanta,United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60024007,60024007,Helmholtz Center Munich German Research Center for Environmental Health,Oberschleissheim,Germany,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60023561,60023561,Centre Hospitalier Universitaire Vaudois,Lausanne,Switzerland,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60023052,60023052,Universitetssykehuset i Trondheim,Trondheim,Norway,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60022756,60022756,Washington University School of Medicine in St. Louis,St. Louis,United States,1
