@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number,orcid
true,1,https://api.elsevier.com/content/author/author_id/57218676463,57218676463,Hall A.,Hall,Ashley,A.,true,60020661,1,NA
true,2,https://api.elsevier.com/content/author/author_id/7401547936,7401547936,Quinn J.P.,Quinn,John P.,J.P.,true,60020661,1,NA
true,3,https://api.elsevier.com/content/author/author_id/57200918410,57200918410,Billingsley K.J.,Billingsley,Kimberley J.,K.J.,true,60017252,1,NA
true,1,https://api.elsevier.com/content/author/author_id/57209145255,57209145255,Hossain S.,Hossain,Sharmin,S.,true,60017252,2,NA
true,2,https://api.elsevier.com/content/author/author_id/55911583000,55911583000,Beydoun M.A.,Beydoun,May A.,M.A.,true,60017252,2,NA
true,3,https://api.elsevier.com/content/author/author_id/57195982912,57195982912,Weiss J.,Weiss,Jordan,J.,true,60006297,2,NA
true,4,https://api.elsevier.com/content/author/author_id/6602728837,6602728837,Kuczmarski M.F.,Kuczmarski,Marie F.,M.F.,true,60023004,2,NA
true,5,https://api.elsevier.com/content/author/author_id/7404538531,7404538531,Evans M.K.,Evans,Michele K.,M.K.,true,60017252,2,NA
true,6,https://api.elsevier.com/content/author/author_id/57211703435,57211703435,Zonderman A.B.,Zonderman,Alan B.,A.B.,true,60017252,2,NA
true,1,https://api.elsevier.com/content/author/author_id/7005298726,7005298726,Vodovotz Y.,Vodovotz,Yoram,Y.,true,60012018,3,NA
true,2,https://api.elsevier.com/content/author/author_id/7004632410,7004632410,Barnard N.,Barnard,Neal,N.,true,60025286,3,NA
true,3,https://api.elsevier.com/content/author/author_id/36038688700,36038688700,Hu F.B.,Hu,Frank B.,F.B.,true,60032499,3,NA
true,4,https://api.elsevier.com/content/author/author_id/35371747900,35371747900,Jakicic J.,Jakicic,John,J.,true,60015543,3,NA
true,5,https://api.elsevier.com/content/author/author_id/23477557500,23477557500,Lianov L.,Lianov,Liana,L.,true,115541376,3,NA
true,6,https://api.elsevier.com/content/author/author_id/57196768704,57196768704,Loveland D.,Loveland,David,D.,true,101502779,3,NA
true,7,https://api.elsevier.com/content/author/author_id/7005831041,7005831041,Buysse D.,Buysse,Daniel,D.,true,60001361,3,NA
true,8,https://api.elsevier.com/content/author/author_id/6603875001,6603875001,Szigethy E.,Szigethy,Eva,E.,true,60001361,3,NA
true,9,https://api.elsevier.com/content/author/author_id/7005576563,7005576563,Finkel T.,Finkel,Toren,T.,true,60001361,3,NA
true,10,https://api.elsevier.com/content/author/author_id/35273876500,35273876500,Sowa G.,Sowa,Gwendolyn,G.,true,60001361,3,NA
true,11,https://api.elsevier.com/content/author/author_id/7006315557,7006315557,Verschure P.,Verschure,Paul,P.,true,60032907,3,NA
true,12,https://api.elsevier.com/content/author/author_id/57203544078,57203544078,Williams K.,Williams,Kim,K.,true,60018691,3,NA
true,13,https://api.elsevier.com/content/author/author_id/57201540933,57201540933,Sanchez E.,Sanchez,Eduardo,E.,true,60012219,3,NA
true,14,https://api.elsevier.com/content/author/author_id/6506103342,6506103342,Dysinger W.,Dysinger,Wayne,W.,true,123328270,3,NA
true,15,https://api.elsevier.com/content/author/author_id/6603078011,6603078011,Maizes V.,Maizes,Victoria,V.,true,60010065,3,NA
true,16,https://api.elsevier.com/content/author/author_id/57221247649,57221247649,Junker C.,Junker,Caesar,C.,true,60001262,3,NA
true,17,https://api.elsevier.com/content/author/author_id/7202142868,7202142868,Phillips E.,Phillips,Edward,E.,true,60105918,3,NA
true,18,https://api.elsevier.com/content/author/author_id/7401561258,7401561258,Katz D.,Katz,David,D.,true,122263416,3,NA
true,19,https://api.elsevier.com/content/author/author_id/6602684893,6602684893,Drant S.,Drant,Stacey,S.,true,60001361,3,NA
true,20,https://api.elsevier.com/content/author/author_id/19134777300,19134777300,Jackson R.J.,Jackson,Richard J.,R.J.,true,60027550,3,NA
true,21,https://api.elsevier.com/content/author/author_id/6508046193,6508046193,Trasande L.,Trasande,Leonardo,L.,true,60021784,3,NA
true,22,https://api.elsevier.com/content/author/author_id/56979472000,56979472000,Woolf S.,Woolf,Steven,S.,true,60010966,3,NA
true,23,https://api.elsevier.com/content/author/author_id/7004390052,7004390052,Salive M.,Salive,Marcel,M.,true,60017252,3,NA
true,24,https://api.elsevier.com/content/author/author_id/6701826245,6701826245,South-Paul J.,South-Paul,Jeannette,J.,true,60001361,3,NA
true,25,https://api.elsevier.com/content/author/author_id/55926220700,55926220700,States S.L.,States,Sarah L.,S.L.,true,115827139,3,NA
true,26,https://api.elsevier.com/content/author/author_id/36003934100,36003934100,Roth L.,Roth,Loren,L.,true,60001361,3,NA
true,27,https://api.elsevier.com/content/author/author_id/7201612803,7201612803,Fraser G.,Fraser,Gary,G.,true,60016069,3,NA
true,28,https://api.elsevier.com/content/author/author_id/19036528600,19036528600,Stout R.,Stout,Ron,R.,true,121044193,3,NA
true,29,https://api.elsevier.com/content/author/author_id/7006381319,7006381319,Parkinson M.D.,Parkinson,Michael D.,M.D.,true,60012018,3,NA
true,1,https://api.elsevier.com/content/author/author_id/57221272032,57221272032,Yin W.,Yin,Wencheng,W.,true,60019702,4,NA
true,2,https://api.elsevier.com/content/author/author_id/57221262899,57221262899,Cerda-Hernández N.,Cerda-Hernández,Navei,N.,true,60280747,4,NA
true,3,https://api.elsevier.com/content/author/author_id/55940324800,55940324800,Castillo-Morales A.,Castillo-Morales,Atahualpa,A.,true,60280747,4,NA
true,4,https://api.elsevier.com/content/author/author_id/57217533585,57217533585,Ruiz-Tejada-Segura M.L.,Ruiz-Tejada-Segura,Mayra L.,M.L.,true,60280747,4,NA
true,5,https://api.elsevier.com/content/author/author_id/55939837800,55939837800,Monzón-Sandoval J.,Monzón-Sandoval,Jimena,J.,true,60023998,4,NA
true,6,https://api.elsevier.com/content/author/author_id/36105498800,36105498800,Moreno-Castilla P.,Moreno-Castilla,Perla,P.,true,60017252,4,NA
true,7,https://api.elsevier.com/content/author/author_id/57215055749,57215055749,Pérez-Ortega R.,Pérez-Ortega,Rodrigo,R.,true,60069652,4,NA
true,8,https://api.elsevier.com/content/author/author_id/7005501416,7005501416,Bermudez-Rattoni F.,Bermudez-Rattoni,Federico,F.,true,60069652,4,NA
true,9,https://api.elsevier.com/content/author/author_id/7007060391,7007060391,Urrutia A.O.,Urrutia,Araxi O.,A.O.,true,60280747,4,NA
