@_fa,@seq,author-url,authid,orcid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/56924384500,56924384500,0000-0003-1271-2489,Graham S.E.,Graham,Sarah E.,S.E.,true,60033182,1
true,2,https://api.elsevier.com/content/author/author_id/36466160700,36466160700,0000-0002-6592-1172,Clarke S.L.,Clarke,Shoa L.,S.L.,true,60028084,1
true,3,https://api.elsevier.com/content/author/author_id/57205105361,57205105361,0000-0003-4286-4299,Wu K.H.H.,Wu,Kuan Han H.,K.H.H.,true,60033182,1
true,4,https://api.elsevier.com/content/author/author_id/57190986676,57190986676,0000-0002-1691-9615,Kanoni S.,Kanoni,Stavroula,S.,true,60021435,1
true,5,https://api.elsevier.com/content/author/author_id/57203228355,57203228355,0000-0001-6411-9666,Zajac G.J.M.,Zajac,Greg J.M.,G.J.M.,true,60016660,1
true,6,https://api.elsevier.com/content/author/author_id/6602138268,6602138268,NA,Ramdas S.,Ramdas,Shweta,S.,true,60003711,1
true,7,https://api.elsevier.com/content/author/author_id/26654479000,26654479000,NA,Surakka I.,Surakka,Ida,I.,true,60033182,1
true,8,https://api.elsevier.com/content/author/author_id/22835706900,22835706900,NA,Ntalla I.,Ntalla,Ioanna,I.,true,60021435,1
true,9,https://api.elsevier.com/content/author/author_id/57216597899,57216597899,NA,Vedantam S.,Vedantam,Sailaja,S.,true,60030521,1
true,10,https://api.elsevier.com/content/author/author_id/36645396400,36645396400,0000-0003-0292-5421,Winkler T.W.,Winkler,Thomas W.,T.W.,true,60030807,1
true,11,https://api.elsevier.com/content/author/author_id/57212874871,57212874871,NA,Locke A.E.,Locke,Adam E.,A.E.,true,60022756,1
true,12,https://api.elsevier.com/content/author/author_id/57204885457,57204885457,0000-0001-6179-1609,Marouli E.,Marouli,Eirini,E.,true,60021435,1
true,13,https://api.elsevier.com/content/author/author_id/55523326400,55523326400,0000-0002-8208-7925,Hwang M.Y.,Hwang,Mi Yeong,M.Y.,true,60068695,1
true,14,https://api.elsevier.com/content/author/author_id/57208658836,57208658836,0000-0003-2181-2131,Han S.,Han,Sohee,S.,true,60068695,1
true,15,https://api.elsevier.com/content/author/author_id/57055280100,57055280100,0000-0002-9076-0710,Narita A.,Narita,Akira,A.,true,60008435,1
true,16,https://api.elsevier.com/content/author/author_id/25031506700,25031506700,0000-0001-8225-9531,Choudhury A.,Choudhury,Ananyo,A.,true,60079992,1
true,17,https://api.elsevier.com/content/author/author_id/54962480000,54962480000,0000-0002-0827-9101,Bentley A.R.,Bentley,Amy R.,A.R.,true,60013369,1
true,18,https://api.elsevier.com/content/author/author_id/25930326000,25930326000,NA,Ekoru K.,Ekoru,Kenneth,K.,true,60013369,1
true,19,https://api.elsevier.com/content/author/author_id/56045118100,56045118100,NA,Verma A.,Verma,Anurag,A.,true,60003711,1
true,20,https://api.elsevier.com/content/author/author_id/57216275309,57216275309,NA,Trivedi B.,Trivedi,Bhavi,B.,true,60021435,1
true,21,https://api.elsevier.com/content/author/author_id/54880102900,54880102900,0000-0002-4454-9084,Martin H.C.,Martin,Hilary C.,H.C.,true,60005517,1
true,22,https://api.elsevier.com/content/author/author_id/57197038575,57197038575,NA,Hunt K.A.,Hunt,Karen A.,K.A.,true,60021435,1
true,23,https://api.elsevier.com/content/author/author_id/57190765450,57190765450,NA,Hui Q.,Hui,Qin,Q.,true,60025315,1
true,24,https://api.elsevier.com/content/author/author_id/55233821300,55233821300,NA,Klarin D.,Klarin,Derek,D.,true,60014232,1
true,25,https://api.elsevier.com/content/author/author_id/55612671400,55612671400,0000-0003-1134-6413,Zhu X.,Zhu,Xiang,X.,true,60028084,1
true,26,https://api.elsevier.com/content/author/author_id/7003411255,7003411255,NA,Thorleifsson G.,Thorleifsson,Gudmar,G.,true,60071123,1
true,27,https://api.elsevier.com/content/author/author_id/8096591700,8096591700,NA,Helgadottir A.,Helgadottir,Anna,A.,true,60071123,1
true,28,https://api.elsevier.com/content/author/author_id/6602358994,6602358994,0000-0002-5222-9857,Gudbjartsson D.F.,Gudbjartsson,Daniel F.,D.F.,true,60071123,1
true,29,https://api.elsevier.com/content/author/author_id/57205701841,57205701841,0000-0002-9517-6636,Holm H.,Holm,Hilma,H.,true,60071123,1
