@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,orcid,entry_number
true,1,https://api.elsevier.com/content/author/author_id/57208095998,57208095998,Calvo A.,Calvo,Andrea,A.,true,60012259,NA,1
true,2,https://api.elsevier.com/content/author/author_id/15838973400,15838973400,Canosa A.,Canosa,Antonio,A.,true,60012259,NA,1
true,3,https://api.elsevier.com/content/author/author_id/16203396300,16203396300,Moglia C.,Moglia,Cristina,C.,true,60012259,NA,1
true,4,https://api.elsevier.com/content/author/author_id/55338397300,55338397300,Manera U.,Manera,Umberto,U.,true,60012259,NA,1
true,5,https://api.elsevier.com/content/author/author_id/57189925913,57189925913,Grassano M.,Grassano,Maurizio,M.,true,60012259,NA,1
true,6,https://api.elsevier.com/content/author/author_id/57191751896,57191751896,Vasta R.,Vasta,Rosario,R.,true,60012259,NA,1
true,7,https://api.elsevier.com/content/author/author_id/57218593814,57218593814,Palumbo F.,Palumbo,Francesca,F.,true,60012259,0000-0002-7070-2409,1
true,8,https://api.elsevier.com/content/author/author_id/56373438400,56373438400,Cugnasco P.,Cugnasco,Paolo,P.,true,60012259,NA,1
true,9,https://api.elsevier.com/content/author/author_id/10142709600,10142709600,Gallone S.,Gallone,Salvatore,S.,true,60111308,NA,1
true,10,https://api.elsevier.com/content/author/author_id/57202469838,57202469838,Brunetti M.,Brunetti,Maura,M.,true,60012259,NA,1
true,11,https://api.elsevier.com/content/author/author_id/56385357700,56385357700,De Marchi F.,De Marchi,Fabiola,F.,true,60029535,NA,1
true,12,https://api.elsevier.com/content/author/author_id/58599134300,58599134300,Arena V.,Arena,Vincenzo,V.,true,122397639,NA,1
true,13,https://api.elsevier.com/content/author/author_id/57220528310,57220528310,Pagani M.,Pagani,Marco,M.,true,60012572,NA,1
true,14,https://api.elsevier.com/content/author/author_id/6603075111,6603075111,Dalgard C.,Dalgard,Clifton,C.,true,60006762,0000-0003-2025-8239,1
true,15,https://api.elsevier.com/content/author/author_id/57219521472,57219521472,Scholz S.W.,Scholz,Sonja W.,S.W.,true,60013780,NA,1
true,16,https://api.elsevier.com/content/author/author_id/9039188700,9039188700,Chia R.,Chia,Ruth,R.,true,60017252,0000-0002-4709-7423,1
true,17,https://api.elsevier.com/content/author/author_id/6602755802,6602755802,Corrado L.,Corrado,Lucia,L.,true,60003668,NA,1
true,18,https://api.elsevier.com/content/author/author_id/57221598393,57221598393,Dalfonso S.,Dalfonso,Sandra,S.,true,60003668,NA,1
true,19,https://api.elsevier.com/content/author/author_id/7003390256,7003390256,Mazzini L.,Mazzini,Letizia,L.,true,60029535,NA,1
true,20,https://api.elsevier.com/content/author/author_id/57222737534,57222737534,Traynor B.J.,Traynor,Bryan J.,B.J.,true,60001117,NA,1
true,21,https://api.elsevier.com/content/author/author_id/7006225787,7006225787,Chio A.,Chio,Adriano,A.,true,60012259,NA,1
true,1,https://api.elsevier.com/content/author/author_id/57217170842,57217170842,Chang M.W.,Chang,Ming Wen,M.W.,true,60017252,NA,2
true,2,https://api.elsevier.com/content/author/author_id/57218299965,57218299965,Yang J.H.,Yang,Jen Hao,J.H.,true,60017252,NA,2
true,3,https://api.elsevier.com/content/author/author_id/57192920635,57192920635,Tsitsipatis D.,Tsitsipatis,Dimitrios,D.,true,60017252,NA,2
true,4,https://api.elsevier.com/content/author/author_id/55683852900,55683852900,Yang X.,Yang,Xiaoling,X.,true,60017252,NA,2
true,5,https://api.elsevier.com/content/author/author_id/56970940200,56970940200,Martindale J.L.,Martindale,Jennifer L.,J.L.,true,60017252,NA,2
true,6,https://api.elsevier.com/content/author/author_id/39161825800,39161825800,Munk R.,Munk,Rachel,R.,true,60017252,NA,2
true,7,https://api.elsevier.com/content/author/author_id/57202835820,57202835820,Pandey P.R.,Pandey,Poonam R.,P.R.,true,60017252,NA,2
true,8,https://api.elsevier.com/content/author/author_id/57188697999,57188697999,Banskota N.,Banskota,Nirad,N.,true,60017252,NA,2
