@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,article-number,pii
true,https://api.elsevier.com/content/abstract/scopus_id/85080851585,SCOPUS_ID:85080851585,2-s2.0-85080851585,Associations between midlife (but Not Late-Life) elevated coronary heart disease risk and lower cognitive performance: Results from the framingham offspring study,Armstrong N.M.,American Journal of Epidemiology,00029262,14766256,188,12,2175-2187,2019-12-31,31 December 2019,10.1093/aje/kwz210,"It is unclear how coronary heart disease (CHD) risk across the adult life span affects late-life cognition. We estimated associations of midlife and late-life elevated CHD risk with cognitive trajectories (general cognitive performance, processing speed/executive function, memory) in later life (after age 55 years or age 70 years) among 2,892 Framingham Offspring Study participants who had completed CHD risk assessments approximately every 4 years since 1971 and had undergone neuropsychological testing between 1999 and 2014. We stratified analyses by apolipoprotein E gene (APOE) ϵ4 allele carrier status. Using linear mixed-effects models, elevated CHD risk in midlife (age 55 years) was associated with lower levels of general cognitive performance (β = -0.560 standard deviation (SD) units, 95% confidence interval (CI): -0.874, -0.246), executive function (β = -0.624 SD units, 95% CI: -0.916, -0.332), and memory (β = -0.560 SD units, 95% CI: -0.907, -0.213) at age 70 years but not with rates of cognitive change. Late-life (age 70 years) elevated CHD risk, however, was associated with somewhat better levels of general cognitive performance and memory. There were associations between duration of elevated CHD risk during midlife and levels (but not trajectories) of later-life cognitive outcomes. Associations were not modified by APOE-ϵ4 status. These findings suggest that midlife elevated CHD risk is associated with lower cognition, independently of APOE-ϵ4 status, suggesting that risk of vascular disease may not contribute a ""second hit"" to AD risk.",12,31576397,Journal,ar,Article,100,4,4,Alzheimer disease | apolipoprotein E ϵ4 | cognition | coronary heart disease | life course,27058,NIA,K01AG050699,National Institute on Aging,1,TRUE,all,All Open Access,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85077275449,SCOPUS_ID:85077275449,2-s2.0-85077275449,"Effects of intermittent fasting on health, aging, and disease",De Cabo R.,New England Journal of Medicine,00284793,15334406,381,26,2541-2551,2019-12-26,26 December 2019,10.1056/NEJMra1905136,NA,996,31881139,Journal,re,Review,100,2,2,NA,15847,NIH,undefined,National Institutes of Health,0,FALSE,NA,NA,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85076332536,SCOPUS_ID:85076332536,2-s2.0-85076332536,Lamin A/C promotes DNA base excision repair,Maynard S.,Nucleic Acids Research,03051048,13624962,47,22,11709-11728,2019-12-16,16 December 2019,10.1093/nar/gkz912,"The A-type lamins (lamin A/C), encoded by the LMNA gene, are important structural components of the nuclear lamina. LMNA mutations lead to degenerative disorders known as laminopathies, including the premature aging disease Hutchinson-Gilford progeria syndrome. In addition, altered lamin A/C expression is found in various cancers. Reports indicate that lamin A/C plays a role in DNA double strand break repair, but a role in DNA base excision repair (BER) has not been described. We provide evidence for reduced BER efficiency in lamin A/C-depleted cells (Lmna null MEFs and lamin A/C-knockdown U2OS). The mechanism involves impairment of the APE1 and POLβ BER activities, partly effectuated by associated reduction in poly-ADP-ribose chain formation. Also, Lmna null MEFs displayed reduced expression of several core BER enzymes (PARP1, LIG3 and POLβ). Absence of Lmna led to accumulation of 8-oxoguanine (8-oxoG) lesions, and to an increased frequency of substitution mutations induced by chronic oxidative stress including GC>TA transversions (a fingerprint of 8-oxoG:A mismatches). Collectively, our results provide novel insights into the functional interplay between the nuclear lamina and cellular defenses against oxidative DNA damage, with implications for cancer and aging.",48,31647095,Journal,ar,Article,100,10,10,NA,14204,NIH,R01AG058714,National Institutes of Health,1,TRUE,all,All Open Access,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85077635956,SCOPUS_ID:85077635956,2-s2.0-85077635956,Release of insulin produced by the choroids plexis is regulated by serotonergic signaling,Mazucanti C.H.,JCI Insight,NA,23793708,4,23,NA,2019-12-05,5 December 2019,10.1172/jci.insight.131682,"The choroid plexus (ChP) is a highly vascularized tissue found in the brain ventricles, with an apical epithelial cell layer surrounding fenestrated capillaries. It is responsible for the production of most of the cerebrospinal fluid (CSF) in the ventricular system, subarachnoid space, and central canal of the spinal cord, while also constituting the blood-CSF barrier (BCSFB). In addition, epithelial cells of the ChP (EChP) synthesize neurotrophic factors and other signaling molecules that are released into the CSF. Here, we show that insulin is produced in EChP of mice and humans, and its expression and release are regulated by serotonin. Insulin mRNA and immune-reactive protein, including C-peptide, are present in EChP, as detected by several experimental approaches, and appear in much higher levels than any other brain region. Moreover, insulin is produced in primary cultured mouse EChP, and its release, albeit Ca2+ sensitive, is not regulated by glucose. Instead, activation of the 5HT2C receptor by serotonin treatment led to activation of IP3-sensitive channels and Ca2+ mobilization from intracellular storage, leading to insulin secretion. In vivo depletion of brain serotonin in the dorsal raphe nucleus negatively affected insulin expression in the ChP, suggesting an endogenous modulation of ChP insulin by serotonin. Here, we show for the first time to our knowledge that insulin is produced by EChP in the brain, and its release is modulated at least by serotonin but not glucose.",73,31647782,Journal,ar,Article,100,7,7,NA,21100894518,NIH,undefined,National Institutes of Health,1,TRUE,all,All Open Access,4,e131682,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85076970696,SCOPUS_ID:85076970696,2-s2.0-85076970696,Neuroinflammation as a Factor of Neurodegenerative Disease: Thalidomide Analogs as Treatments,Jung Y.J.,Frontiers in Cell and Developmental Biology,NA,2296634X,7,NA,NA,2019-12-04,4 December 2019,10.3389/fcell.2019.00313,"Neuroinflammation is initiated when glial cells, mainly microglia, are activated by threats to the neural environment, such as pathogen infiltration or neuronal injury. Although neuroinflammation serves to combat these threats and reinstate brain homeostasis, chronic inflammation can result in excessive cytokine production and cell death if the cause of inflammation remains. Overexpression of tumor necrosis factor-α (TNF-α), a proinflammatory cytokine with a central role in microglial activation, has been associated with neuronal excitotoxicity, synapse loss, and propagation of the inflammatory state. Thalidomide and its derivatives, termed immunomodulatory imide drugs (IMiDs), are a class of drugs that target the 3′-untranslated region (3′-UTR) of TNF-α mRNA, inhibiting TNF-α production. Due to their multi-potent effects, several IMiDs, including thalidomide, lenalidomide, and pomalidomide, have been repurposed as drug treatments for diseases such as multiple myeloma and psoriatic arthritis. Preclinical studies of currently marketed IMiDs, as well as novel IMiDs such as 3,6′-dithiothalidomide and adamantyl thalidomide derivatives, support the development of IMiDs as therapeutics for neurological disease. IMiDs have a competitive edge compared to similar anti-inflammatory drugs due to their blood-brain barrier permeability and high bioavailability, with the potential to alleviate symptoms of neurodegenerative disease and slow disease progression. In this review, we evaluate the role of neuroinflammation in neurodegenerative diseases, focusing specifically on the role of TNF-α in neuroinflammation, as well as appraise current research on the potential of IMiDs as treatments for neurological disorders.",114,NA,Journal,re,Review,100,4,4,apremilast | immunomodulatory imide drugs (IMiDs) | lenalidomide | neurodegeneration | neuroinflammation | pomalidomide | thalidomide | tumor necrosis factor-α (TNF-α),21100826277,NIH,undefined,National Institutes of Health,1,TRUE,all,All Open Access,5,313,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85084784933,SCOPUS_ID:85084784933,2-s2.0-85084784933,Moving beyond neurons: the role of cell type-specific gene regulation in Parkinson’s disease heritability,Reynolds R.H.,npj Parkinson's Disease,NA,23738057,5,1,NA,2019-12-01,1 December 2019,10.1038/s41531-019-0076-6,"Parkinson’s disease (PD), with its characteristic loss of nigrostriatal dopaminergic neurons and deposition of α-synuclein in neurons, is often considered a neuronal disorder. However, in recent years substantial evidence has emerged to implicate glial cell types, such as astrocytes and microglia. In this study, we used stratified LD score regression and expression-weighted cell-type enrichment together with several brain-related and cell-type-specific genomic annotations to connect human genomic PD findings to specific brain cell types. We found that PD heritability attributable to common variation does not enrich in global and regional brain annotations or brain-related cell-type-specific annotations. Likewise, we found no enrichment of PD susceptibility genes in brain-related cell types. In contrast, we demonstrated a significant enrichment of PD heritability in a curated lysosomal gene set highly expressed in astrocytic, microglial, and oligodendrocyte subtypes, and in LoF-intolerant genes, which were found highly expressed in almost all tested cellular subtypes. Our results suggest that PD risk loci do not lie in specific cell types or individual brain regions, but rather in global cellular processes detectable across several cell types.",66,NA,Journal,ar,Article,100,167,100,NA,21100982311,UKRI,MR/N008324/1,UK Research and Innovation,1,TRUE,all,All Open Access,6,6,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85078575223,SCOPUS_ID:85078575223,2-s2.0-85078575223,Hur reduces radiation-induced DNA damage by enhancing expression of ARID1A,Andrade D.,Cancers,NA,20726694,11,12,NA,2019-12-01,December 2019,10.3390/cancers11122014,"Tumor suppressor ARID1A, a subunit of the chromatin remodeling complex SWI/SNF, regulates cell cycle progression, interacts with the tumor suppressor TP53, and prevents genomic instability. In addition, ARID1A has been shown to foster resistance to cancer therapy. By promoting non-homologous end joining (NHEJ), ARID1A enhances DNA repair. Consequently, ARID1A has been proposed as a promising therapeutic target to sensitize cancer cells to chemotherapy and radiation. Here, we report that ARID1A is regulated by human antigen R (HuR), an RNA-binding protein that is highly expressed in a wide range of cancers and enables resistance to chemotherapy and radiation. Our results indicate that HuR binds ARID1A mRNA, thereby increasing its stability in breast cancer cells. We further find that ARID1A expression suppresses the accumulation of DNA double-strand breaks (DSBs) caused by radiation and can rescue the loss of radioresistance triggered by HuR inhibition, suggesting that ARID1A plays an important role in HuR-driven resistance to radiation. Taken together, our work shows that HuR and ARID1A form an important regulatory axis in radiation resistance that can be targeted to improve radiotherapy in breast cancer patients.",28,NA,Journal,ar,Article,100,18,18,ARID1A | BAF250a | ELAVL1 | HuR | Post-transcriptional regulation | Radiation | RNA-binding protein | SWI/SNF | TNBC,19700188419,NIH,101 BX003420A1,National Institutes of Health,1,TRUE,all,All Open Access,7,2014,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85078481405,SCOPUS_ID:85078481405,2-s2.0-85078481405,Mitochondria function associated genes contribute to Parkinson’s Disease risk and later age at onset,Billingsley K.J.,npj Parkinson's Disease,NA,23738057,5,1,NA,2019-12-01,1 December 2019,10.1038/s41531-019-0080-x,"Mitochondrial dysfunction has been implicated in the etiology of monogenic Parkinson’s disease (PD). Yet the role that mitochondrial processes play in the most common form of the disease; sporadic PD, is yet to be fully established. Here, we comprehensively assessed the role of mitochondrial function-associated genes in sporadic PD by leveraging improvements in the scale and analysis of PD GWAS data with recent advances in our understanding of the genetics of mitochondrial disease. We calculated a mitochondrial-specific polygenic risk score (PRS) and showed that cumulative small effect variants within both our primary and secondary gene lists are significantly associated with increased PD risk. We further reported that the PRS of the secondary mitochondrial gene list was significantly associated with later age at onset. Finally, to identify possible functional genomic associations we implemented Mendelian randomization, which showed that 14 of these mitochondrial function-associated genes showed functional consequence associated with PD risk. Further analysis suggested that the 14 identified genes are not only involved in mitophagy, but implicate new mitochondrial processes. Our data suggests that therapeutics targeting mitochondrial bioenergetics and proteostasis pathways distinct from mitophagy could be beneficial to treating the early stage of PD.",102,NA,Journal,ar,Article,100,145,100,NA,21100982311,MRC,MR/P005748/1,Medical Research Council,1,TRUE,all,All Open Access,8,8,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85076896718,SCOPUS_ID:85076896718,2-s2.0-85076896718,A Novel Joint Brain Network Analysis Using Longitudinal Alzheimer’s Disease Data,Kundu S.,Scientific Reports,NA,20452322,9,1,NA,2019-12-01,1 December 2019,10.1038/s41598-019-55818-z,"There is well-documented evidence of brain network differences between individuals with Alzheimer’s disease (AD) and healthy controls (HC). To date, imaging studies investigating brain networks in these populations have typically been cross-sectional, and the reproducibility of such findings is somewhat unclear. In a novel study, we use the longitudinal ADNI data on the whole brain to jointly compute the brain network at baseline and one-year using a state of the art approach that pools information across both time points to yield distinct visit-specific networks for the AD and HC cohorts, resulting in more accurate inferences. We perform a multiscale comparison of the AD and HC networks in terms of global network metrics as well as at the more granular level of resting state networks defined under a whole brain parcellation. Our analysis illustrates a decrease in small-worldedness in the AD group at both the time points and also identifies more local network features and hub nodes that are disrupted due to the progression of AD. We also obtain high reproducibility of the HC network across visits. On the other hand, a separate estimation of the networks at each visit using standard graphical approaches reveals fewer meaningful differences and lower reproducibility.",21,31863067,Journal,ar,Article,100,319,100,NA,21100200805,NCATS,UL1TR002369,National Center for Advancing Translational Sciences,1,TRUE,all,All Open Access,9,19589,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85076727256,SCOPUS_ID:85076727256,2-s2.0-85076727256,Automated lifespan determination across Caenorhabditis strains and species reveals assay-specific effects of chemical interventions,Banse S.A.,GeroScience,25092715,25092723,41,6,945-960,2019-12-01,1 December 2019,10.1007/s11357-019-00108-9,"The goal of the Caenorhabditis Intervention Testing Program is to identify robust and reproducible pro-longevity interventions that are efficacious across genetically diverse cohorts in the Caenorhabditis genus. The project design features multiple experimental replicates collected by three different laboratories. Our initial effort employed fully manual survival assays. With an interest in increasing throughput, we explored automation with flatbed scanner-based Automated Lifespan Machines (ALMs). We used ALMs to measure survivorship of 22 Caenorhabditis strains spanning three species. Additionally, we tested five chemicals that we previously found extended lifespan in manual assays. Overall, we found similar sources of variation among trials for the ALM and our previous manual assays, verifying reproducibility of outcome. Survival assessment was generally consistent between the manual and the ALM assays, although we did observe radically contrasting results for certain compound interventions. We found that particular lifespan outcome differences could be attributed to protocol elements such as enhanced light exposure of specific compounds in the ALM, underscoring that differences in technical details can influence outcomes and therefore interpretation. Overall, we demonstrate that the ALMs effectively reproduce a large, conventionally scored dataset from a diverse test set, independently validating ALMs as a robust and reproducible approach toward aging-intervention screening.",15,31820364,Journal,ar,Article,100,31,31,Automation | Caenorhabditis elegans | CITP | Lifespan | Lifespan machine | Thioflavin T,21100805354,NIH,P40 OD010440,National Institutes of Health,1,TRUE,all,All Open Access,10,NA,NA
