@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,pii,dc:description,authkeywords,article-number
true,https://api.elsevier.com/content/abstract/scopus_id/85099250188,SCOPUS_ID:85099250188,2-s2.0-85099250188,"Letter to the editor regarding ""TGM6 variants in Parkinson's disease: Clinical findings and functional evidence''",Hall A.,Journal of Integrative Neuroscience,02196352,1757448X,19,4,735-737,2020-12-30,30 December 2020,10.31083/J.JIN.2020.04.261,1,33378849,Journal,le,Letter,100,3,3,16722,NIH,W81XWH-09-2-0128,National Institutes of Health,1,TRUE,all,All Open Access,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85083219850,SCOPUS_ID:85083219850,2-s2.0-85083219850,Longitudinal associations between dietary quality and Alzheimer's disease genetic risk on cognitive performance among African American adults,Hossain S.,British Journal of Nutrition,00071145,14752662,124,12,1264-1276,2020-12-28,28 December 2020,10.1017/S0007114520001269,10,32248879,Journal,ar,Article,100,6,6,30025,NIH,ZIAAG000513,National Institutes of Health,0,FALSE,all,All Open Access,2,S0007114520001269,"Poor diet quality (DQ) is associated with poor cognition and increased neurodegeneration, including Alzheimer's disease (AD). We are interested in the role of DQ on cognitive functioning (by sex and increasing genetic risk for AD), in a sample of African American (AA) middle-aged adults. We analysed a sub-group of participants (about 55 % women; mean follow-up time of about 4·7 years) from the Healthy Aging in Neighborhoods of Diversity across the Life Span study with a genetic risk score for AD (hAlzScore). The Healthy Eating Index-2010, Dietary Approaches to Stop Hypertension and the mean adequacy ratio computed at baseline (2004-2009) and follow-up visits (2009-2013) were used to assess initial DQ and change over time. Linear mixed-effects regression models were utilised, adjusting for select covariates, selection bias and multiple testing. DQ change (ΔDQ) was associated with California Verbal Learning Test-List A-overall (0·15 (se 0·06), P = 0·008) and in women (0·21 (se 0·08), P = 0·006), at highest AD risk, indicating protective effects over time. Greater AD risk was longitudinally associated with poorer Clock Command Test scores in men. Poor DQ was positively and cross-sectionally associated with Trails B scores, but in women only. Better-quality diet was associated with a slower decline in verbal memory among AA women, with greater AD risk. Insufficient clinical evidence and/or mixed findings dictate that more studies are needed to investigate brain morphology and volume changes in relation to DQ in an at-risk population for AD, over time.",Adults | Alzheimer's disease | Cognitive decline | Diet quality | Genetic risk | Health disparities,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85099054424,SCOPUS_ID:85099054424,2-s2.0-85099054424,"Prioritized Research for the Prevention, Treatment, and Reversal of Chronic Disease: Recommendations From the Lifestyle Medicine Research Summit",Vodovotz Y.,Frontiers in Medicine,NA,2296858X,7,NA,NA,2020-12-22,22 December 2020,10.3389/fmed.2020.585744,53,NA,Journal,re,Review,100,29,29,21100868809,NIH,undefined,National Institutes of Health,1,TRUE,all,All Open Access,3,NA,"Declining life expectancy and increasing all-cause mortality in the United States have been associated with unhealthy behaviors, socioecological factors, and preventable disease. A growing body of basic science, clinical research, and population health evidence points to the benefits of healthy behaviors, environments and policies to maintain health and prevent, treat, and reverse the root causes of common chronic diseases. Similarly, innovations in research methodologies, standards of evidence, emergence of unique study cohorts, and breakthroughs in data analytics and modeling create new possibilities for producing biomedical knowledge and clinical translation. To understand these advances and inform future directions research, The Lifestyle Medicine Research Summit was convened at the University of Pittsburgh on December 4–5, 2019. The Summit's goal was to review current status and define research priorities in the six core areas of lifestyle medicine: plant-predominant nutrition, physical activity, sleep, stress, addictive behaviors, and positive psychology/social connection. Forty invited subject matter experts (1) reviewed existing knowledge and gaps relating lifestyle behaviors to common chronic diseases, such as cardiovascular disease, diabetes, many cancers, inflammatory- and immune-related disorders and other conditions; and (2) discussed the potential for applying cutting-edge molecular, cellular, epigenetic and emerging science knowledge and computational methodologies, research designs, and study cohorts to accelerate clinical applications across all six domains of lifestyle medicine. Notably, federal health agencies, such as the Department of Defense and Veterans Administration have begun to adopt “whole-person health and performance” models that address these lifestyle and environmental root causes of chronic disease and associated morbidity, mortality, and cost. Recommendations strongly support leveraging emerging research methodologies, systems biology, and computational modeling in order to accelerate effective clinical and population solutions to improve health and reduce societal costs. New and alternative hierarchies of evidence are also be needed in order to assess the quality of evidence and develop evidence-based guidelines on lifestyle medicine. Children and underserved populations were identified as prioritized groups to study. The COVID-19 pandemic, which disproportionately impacts people with chronic diseases that are amenable to effective lifestyle medicine interventions, makes the Summit's findings and recommendations for future research particularly timely and relevant.",chronic disease | epigenetics | in silico modeling | inflammation | lifestyle medicine | nutrition | physical activity | research methodologies,585744
true,https://api.elsevier.com/content/abstract/scopus_id/85098623528,SCOPUS_ID:85098623528,2-s2.0-85098623528,"Transcriptional, Behavioral and Biochemical Profiling in the 3xTg-AD Mouse Model Reveals a Specific Signature of Amyloid Deposition and Functional Decline in Alzheimer’s Disease",Yin W.,Frontiers in Neuroscience,16624548,1662453X,14,NA,NA,2020-12-15,15 December 2020,10.3389/fnins.2020.602642,4,NA,Journal,ar,Article,100,10,10,21100199812,UNAM,250870,Universidad Nacional Autónoma de México,1,TRUE,all,All Open Access,4,NA,"Alzheimer’s disease (AD)-related degenerative decline is associated to the presence of amyloid beta (Aβ) plaque lesions and neuro fibrillary tangles (NFT). However, the precise molecular mechanisms linking Aβ deposition and neurological decline are still unclear. Here we combine genome-wide transcriptional profiling of the insular cortex of 3xTg-AD mice and control littermates from early through to late adulthood (2–14 months of age), with behavioral and biochemical profiling in the same animals to identify transcriptional determinants of functional decline specifically associated to build-up of Aβ deposits. Differential expression analysis revealed differentially expressed genes (DEGs) in the cortex long before observed onset of behavioral symptoms in this model. Using behavioral and biochemical data derived from the same mice and samples, we found that down but not up-regulated DEGs show a stronger average association with learning performance than random background genes in control not seen in AD mice. Conversely, these same genes were found to have a stronger association with Aβ deposition than background genes in AD but not in control mice, thereby identifying these genes as potential intermediaries between abnormal Aβ/NFT deposition and functional decline. Using a complementary approach, gene ontology analysis revealed a highly significant enrichment of learning and memory, associative, memory, and cognitive functions only among down-regulated, but not up-regulated, DEGs. Our results demonstrate wider transcriptional changes triggered by the abnormal deposition of Aβ/NFT occurring well before behavioral decline and identify a distinct set of genes specifically associated to abnormal Aβ protein deposition and cognitive decline.",Alzheimer’s | beta amyloid deposits | dementia | memory decline | neurodegeneration | transcriptome,602642
true,https://api.elsevier.com/content/abstract/scopus_id/85098521230,SCOPUS_ID:85098521230,2-s2.0-85098521230,Association of common genetic variants with brain microbleeds: A genome-wide association study,Knol M.J.,Neurology,00283878,1526632X,95,24,E3331-E3343,2020-12-15,15 December 2020,10.1212/WNL.0000000000010852,60,32913026,Journal,ar,Article,100,63,63,17952,ARUK,667375,Alzheimer’s Research UK,1,TRUE,all,All Open Access,5,NA,"Objective To identify common genetic variants associated with the presence of brain microbleeds (BMBs).MethodsWe performed genome-wide association studies in 11 population-based cohort studies and 3 case-control or case-only stroke cohorts. Genotypes were imputed to the Haplotype Reference Consortium or 1000 Genomes reference panel. BMBs were rated on susceptibility-weighted or T2*-weighted gradient echo MRI sequences, and further classified as lobar or mixed (including strictly deep and infratentorial, possibly with lobar BMB). In a subset, we assessed the effects of APOE ϵ2 and ϵ4 alleles on BMB counts. We also related previously identified cerebral small vessel disease variants to BMBs.ResultsBMBs were detected in 3,556 of the 25,862 participants, of which 2,179 were strictly lobar and 1,293 mixed. One locus in the APOE region reached genome-wide significance for its association with BMB (lead single nucleotide polymorphism rs769449; odds ratio [OR]any BMB [95% confidence interval (CI)] 1.33 [1.21-1.45]; p = 2.5 × 10-10). APOE ϵ4 alleles were associated with strictly lobar (OR [95% CI] 1.34 [1.19-1.50]; p = 1.0 × 10-6) but not with mixed BMB counts (OR [95% CI] 1.04 [0.86-1.25]; p = 0.68). APOE ϵ2 alleles did not show associations with BMB counts. Variants previously related to deep intracerebral hemorrhage and lacunar stroke, and a risk score of cerebral white matter hyperintensity variants, were associated with BMB.ConclusionsGenetic variants in the APOE region are associated with the presence of BMB, most likely due to the APOE ϵ4 allele count related to a higher number of strictly lobar BMBs. Genetic predisposition to small vessel disease confers risk of BMB, indicating genetic overlap with other cerebral small vessel disease markers.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85100142752,SCOPUS_ID:85100142752,2-s2.0-85100142752,Astrocytes deliver CK1 to neurons via extracellular vesicles in response to inflammation promoting the translation and amyloidogenic processing of APP,Li Z.,Journal of Extracellular Vesicles,NA,20013078,10,2,NA,2020-12-01,December 2020,10.1002/jev2.12035,37,NA,Journal,ar,Article,100,12,12,21100797856,NIH,AG057420,National Institutes of Health,1,TRUE,all,All Open Access,6,NA,"Chronic inflammation is thought to contribute to the early pathogenesis of Alzheimer's disease (AD). However, the precise mechanism by which inflammatory cytokines promote the formation and deposition of Aβ remains unclear. Available data suggest that applications of inflammatory cytokines onto isolated neurons do not promote the formation of Aβ, suggesting an indirect mechanism of action. Based on evidence astrocyte derived extracellular vesicles (astrocyte derived EVs) regulate neuronal functions, and data that inflammatory cytokines can modify the molecular cargo of astrocyte derived EVs, we sought to determine if IL-1β promotes the formation of Aβ indirectly through actions of astrocyte derived EVs on neurons. The production of Aβ was increased when neurons were exposed to astrocyte derived EVs shed in response to IL-1β (astrocyte derived EV-IL-1β). The mechanism for this effect involved an enrichment of Casein kinase 1 (CK1) in astrocyte derived EV-IL-1β. This astrocyte derived CK1 was delivered to neurons where it formed a complex with neuronal APC and GSK3 to inhibit the β-catenin degradation. Stabilized β-catenin translocated to the nucleus and bound to Hnrnpc gene at promoter regions. An increased cellular concentration of hnRNP C promoted the translation of APP by outcompeting the translational repressor fragile X mental retardation protein (FMRP) bound to APP mRNA. An increased amount of APP protein became co-localized with BACE1 in enlarged membrane microdomains concurrent with increased production of Aβ. These findings identify a mechanism whereby inflammation promotes the formation of Aβ through the actions of astrocyte derived EV-IL-1β on neurons.",amyloid beta | astrocytes-neurons cross talk | extracellular vesicles | inflammation,e12035
true,https://api.elsevier.com/content/abstract/scopus_id/85097310887,SCOPUS_ID:85097310887,2-s2.0-85097310887,Antiangiogenic activity and in silico cereblon binding analysis of novel thalidomide analogs,Peach M.L.,Molecules,NA,14203049,25,23,NA,2020-12-01,1 December 2020,10.3390/molecules25235683,16,33276504,Journal,ar,Article,100,13,13,26370,NIA,098252,National Institute on Aging,1,TRUE,all,All Open Access,7,NA,"Due to its antiangiogenic and anti-immunomodulatory activity, thalidomide continues to be of clinical interest despite its teratogenic actions, and efforts to synthesize safer, clinically active thalidomide analogs are continually underway. In this study, a cohort of 27 chemically diverse thalidomide analogs was evaluated for antiangiogenic activity in an ex vivo rat aorta ring assay. The protein cereblon has been identified as the target for thalidomide, and in silico pharmacophore analysis and molecular docking with a crystal structure of human cereblon were used to investigate the cereblon binding abilities of the thalidomide analogs. The results suggest that not all antiangiogenic thalidomide analogs can bind cereblon, and multiple targets and mechanisms of action may be involved.",Angiogenesis | Cereblon | Docking | Structure–activity relationships | Thalidomide,5683
true,https://api.elsevier.com/content/abstract/scopus_id/85097295783,SCOPUS_ID:85097295783,2-s2.0-85097295783,Cerebral small vessel disease genomics and its implications across the lifespan,Sargurupremraj M.,Nature Communications,NA,20411723,11,1,NA,2020-12-01,December 2020,10.1038/s41467-020-19111-2,123,33293549,Journal,ar,Article,100,251,100,19700182758,NHLBI,U01HL130114,"National Heart, Lung, and Blood Institute",1,TRUE,all,All Open Access,8,NA,"White matter hyperintensities (WMH) are the most common brain-imaging feature of cerebral small vessel disease (SVD), hypertension being the main known risk factor. Here, we identify 27 genome-wide loci for WMH-volume in a cohort of 50,970 older individuals, accounting for modification/confounding by hypertension. Aggregated WMH risk variants were associated with altered white matter integrity (p = 2.5×10-7) in brain images from 1,738 young healthy adults, providing insight into the lifetime impact of SVD genetic risk. Mendelian randomization suggested causal association of increasing WMH-volume with stroke, Alzheimer-type dementia, and of increasing blood pressure (BP) with larger WMH-volume, notably also in persons without clinical hypertension. Transcriptome-wide colocalization analyses showed association of WMH-volume with expression of 39 genes, of which four encode known drug targets. Finally, we provide insight into BP-independent biological pathways underlying SVD and suggest potential for genetic stratification of high-risk individuals and for genetically-informed prioritization of drug targets for prevention trials.",NA,6285
true,https://api.elsevier.com/content/abstract/scopus_id/85097003304,SCOPUS_ID:85097003304,2-s2.0-85097003304,Identification of a pathogenic intronic KIF5A mutation in an ALS-FTD kindred,Saez-Atienzar S.,Neurology,00283878,1526632X,95,22,1015-1018,2020-12-01,1 December 2020,10.1212/WNL.0000000000011064,25,33077544,Journal,ar,Article,100,11,11,17952,JPND,2017SNW5MB,EU Joint Programme – Neurodegenerative Disease Research,1,TRUE,all,All Open Access,9,NA,"Not every gene nominated as a cause of human disease stands the test of time. As additional data become available, the evidence supporting the pathogenicity of a particular variant within a gene can be enhanced or diminished.1 The amyotrophic lateral sclerosis (ALS) field, as much as any other, has been hesitant to address these controversies, leading to uncertainty among the research community.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85096749159,SCOPUS_ID:85096749159,2-s2.0-85096749159,Cockayne syndrome proteins CSA and CSB maintain mitochondrial homeostasis through NAD<sup>+</sup> signaling,Okur M.N.,Aging Cell,14749718,14749726,19,12,NA,2020-12-01,December 2020,10.1111/acel.13268,32,33166073,Journal,ar,Article,100,6,6,18391,NIH,2017056,National Institutes of Health,1,TRUE,all,All Open Access,10,NA,"Cockayne syndrome (CS) is a rare premature aging disease, most commonly caused by mutations of the genes encoding the CSA or CSB proteins. CS patients display cachectic dwarfism and severe neurological manifestations and have an average life expectancy of 12 years. The CS proteins are involved in transcription and DNA repair, with the latter including transcription-coupled nucleotide excision repair (TC-NER). However, there is also evidence for mitochondrial dysfunction in CS, which likely contributes to the severe premature aging phenotype of this disease. While damaged mitochondria and impaired mitophagy were characterized in mice with CSB deficiency, such changes in the CS nematode model and CS patients are not fully known. Our cross-species transcriptomic analysis in CS postmortem brain tissue, CS mouse, and nematode models shows that mitochondrial dysfunction is indeed a common feature in CS. Restoration of mitochondrial dysfunction through NAD+ supplementation significantly improved lifespan and healthspan in the CS nematodes, highlighting mitochondrial dysfunction as a major driver of the aging features of CS. In cerebellar samples from CS patients, we found molecular signatures of dysfunctional mitochondrial dynamics and impaired mitophagy/autophagy. In primary cells depleted for CSA or CSB, this dysfunction can be corrected with supplementation of NAD+ precursors. Our study provides support for the interconnection between major causative aging theories, DNA damage accumulation, mitochondrial dysfunction, and compromised mitophagy/autophagy. Together, these three agents contribute to an accelerated aging program that can be averted by cellular NAD+ restoration.",accelerated ageing | aging | AMPK | Cockayne syndrome | mitochondrial maintenance | mitophagy | NAD +,e13268
