@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,authkeywords,article-number,pii
true,https://api.elsevier.com/content/abstract/scopus_id/85121605114,SCOPUS_ID:85121605114,2-s2.0-85121605114,The power of genetic diversity in genome-wide association studies of lipids,Graham S.E.,Nature,00280836,14764687,600,7890,675-679,2021-12-23,23 December 2021,10.1038/s41586-021-04064-3,"Increased blood lipid levels are heritable risk factors of cardiovascular disease with varied prevalence worldwide owing to different dietary patterns and medication use1. Despite advances in prevention and treatment, in particular through reducing low-density lipoprotein cholesterol levels2, heart disease remains the leading cause of death worldwide3. Genome-wideassociation studies (GWAS) of blood lipid levels have led to important biological and clinical insights, as well as new drug targets, for cardiovascular disease. However, most previous GWAS4–23 have been conducted in European ancestry populations and may have missed genetic variants that contribute to lipid-level variation in other ancestry groups. These include differences in allele frequencies, effect sizes and linkage-disequilibrium patterns24. Here we conduct a multi-ancestry, genome-wide genetic discovery meta-analysis of lipid levels in approximately 1.65 million individuals, including 350,000 of non-European ancestries. We quantify the gain in studying non-European ancestries and provide evidence to support the expansion of recruitment of additional ancestries, even with relatively small sample sizes. We find that increasing diversity rather than studying additional individuals of European ancestry results in substantial improvements in fine-mapping functional variants and portability of polygenic prediction (evaluated in approximately 295,000 individuals from 7 ancestry groupings). Modest gains in the number of discovered loci and ancestry-specific variants were also achieved. As GWAS expand emphasis beyond the identification of genes and fundamental biology towards the use of genetic variants for preventive and precision medicine25, we anticipate that increased diversity of participants will lead to more accurate and equitable26 application of polygenic scores in clinical practice.",456,34887591,Journal,ar,Article,100,524,100,21206,TPUSA,I01BX004821,Merck,0,FALSE,all,All Open Access,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85122322808,SCOPUS_ID:85122322808,2-s2.0-85122322808,Longitudinal trajectories and determinants of human fungiform papillae density,Karikkineth A.C.,Aging,19454589,NA,13,3,24989-25003,2021-12-15,15 December 2021,10.18632/AGING.203741,"Tongue fungiform papillae contain taste buds crucial for taste and hormone-producing taste receptor cells; therefore, they may be considered as endocrine organs and have important age-associated physiological implications. We examine the cross-sectional and longitudinal trajectories of fungiform papillae density in 1084 participants from the Baltimore Longitudinal Study of Aging using linear regression models and mixed effects models. At baseline, the mean age was 67.86 ± 14.20 years, with a mean follow-up time among those with repeat visits of 4.24 ± 1.70 years. Women (53%) were younger (66.85 ± 13.78 vs. 69.04 ± 14.61 years, p < 0.001) and had a higher fungiform papillae density than men (16.14 ± 9.54 vs. 13.77 ± 8.61 papillae/cm2, p < 0.001). Whites (67%) had a lower fungiform papillae density than non-Whites after adjusting for age and sex. Factors cross-sectionally associated with a lower fungiform papillae density included a higher waist-hip ratio (β = −8.525, p = 0.029), current smoking status (β = −5.133, p = 0.014), and alcohol use within the past 12 months (β = −1.571, p = 0.025). Longitudinally, fungiform papillae density decreased linearly with follow-up time (β = −0.646, p < 0.001). The rate of decline was not affected by sex, race, BMI, waist-hip ratio, smoking, or alcohol use. The longitudinal decline of fungiform papillae density over time needs to be explored further in order to identify other possible age-associated physiological determinants",11,34857670,Journal,ar,Article,100,6,6,71628,NIH,undefined,National Institutes of Health,1,TRUE,all,All Open Access,2,Aging | Fungiform papillae | Longitudinal | Taste | Taste buds,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85121986102,SCOPUS_ID:85121986102,2-s2.0-85121986102,Epigenetic Age Acceleration and Hearing: Observations From the Baltimore Longitudinal Study of Aging,Kuo P.L.,Frontiers in Aging Neuroscience,NA,16634365,13,NA,NA,2021-12-15,15 December 2021,10.3389/fnagi.2021.790926,"Objectives: Age-related hearing loss (ARHL) is highly prevalent among older adults, but the potential mechanisms and predictive markers for ARHL are lacking. Epigenetic age acceleration has been shown to be predictive of many age-associated diseases and mortality. However, the association between epigenetic age acceleration and hearing remains unknown. Our study aims to investigate the relationship between epigenetic age acceleration and audiometric hearing in the Baltimore Longitudinal Study of Aging (BLSA). Methods: Participants with both DNA methylation and audiometric hearing measurements were included. The main independent variables are epigenetic age acceleration measures, including intrinsic epigenetic age acceleration—“IEAA,” Hannum age acceleration—“AgeAccelerationResidualHannum,” PhenoAge acceleration—“AgeAccelPheno,” GrimAge acceleration—“AgeAccelGrim,” and methylation-based pace of aging estimation—“DunedinPoAm.” The main dependent variable is speech-frequency pure tone average. Linear regression was used to assess the association between epigenetic age acceleration and hearing. Results: Among the 236 participants (52.5% female), after adjusting for age, sex, race, time difference between measurements, cardiovascular factors, and smoking history, the effect sizes were 0.11 995% CI: (–0.00, 0.23), p = 0.054] for Hannum’s clock, 0.08 [95% CI: (–0.03, 0.19), p = 0.143] for Horvath’s clock, 0.10 [95% CI: (–0.01, 0.21), p = 0.089] for PhenoAge, 0.20 [95% CI: (0.06, 0.33), p = 0.004] for GrimAge, and 0.21 [95% CI: (0.09, 0.33), p = 0.001] for DunedinPoAm. Discussion: The present study suggests that some epigenetic age acceleration measurements are associated with hearing. Future research is needed to study the potential subclinical cardiovascular causes of hearing and to investigate the longitudinal relationship between DNA methylation and hearing.",11,NA,Journal,ar,Article,100,4,4,21100199831,NIH,undefined,National Institutes of Health,1,TRUE,all,All Open Access,3,age-related hearing loss (ARHL) | aging | DNA methylation | epigenetic age acceleration | epigenetic clock | functional aging | pace of aging | phenotypic aging,790926,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85120865664,SCOPUS_ID:85120865664,2-s2.0-85120865664,Cross-Laboratory Standardization of Preclinical Lipidomics Using Differential Mobility Spectrometry and Multiple Reaction Monitoring,Ghorasaini M.,Analytical Chemistry,00032700,15206882,93,49,16369-16378,2021-12-14,14 December 2021,10.1021/acs.analchem.1c02826,"Modern biomarker and translational research as well as personalized health care studies rely heavily on powerful omics' technologies, including metabolomics and lipidomics. However, to translate metabolomics and lipidomics discoveries into a high-throughput clinical setting, standardization is of utmost importance. Here, we compared and benchmarked a quantitative lipidomics platform. The employed Lipidyzer platform is based on lipid class separation by means of differential mobility spectrometry with subsequent multiple reaction monitoring. Quantitation is achieved by the use of 54 deuterated internal standards and an automated informatics approach. We investigated the platform performance across nine laboratories using NIST SRM 1950-Metabolites in Frozen Human Plasma, and three NIST Candidate Reference Materials 8231-Frozen Human Plasma Suite for Metabolomics (high triglyceride, diabetic, and African-American plasma). In addition, we comparatively analyzed 59 plasma samples from individuals with familial hypercholesterolemia from a clinical cohort study. We provide evidence that the more practical methyl-tert-butyl ether extraction outperforms the classic Bligh and Dyer approach and compare our results with two previously published ring trials. In summary, we present standardized lipidomics protocols, allowing for the highly reproducible analysis of several hundred human plasma lipids, and present detailed molecular information for potentially disease relevant and ethnicity-related materials.",52,NA,Journal,ar,Article,100,32,32,23915,BF,184.034.019,"Helsinki Institute of Life Science, Helsingin Yliopisto",1,TRUE,all,All Open Access,4,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85132127689,SCOPUS_ID:85132127689,2-s2.0-85132127689,Research and resource needs for understanding host immune responses to SARS-CoV-2 and COVID-19 vaccines during aging,PrabhuDas M.,Nature Aging,NA,26628465,1,12,1073-1077,2021-12-01,December 2021,10.1038/s43587-021-00156-x,NA,2,NA,Journal,ar,Article,100,8,8,21101083188,NIH,undefined,National Institutes of Health,1,TRUE,all,All Open Access,5,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85123045164,SCOPUS_ID:85123045164,2-s2.0-85123045164,Defective cyclophilin A induces TDP-43 proteinopathy: implications for amyotrophic lateral sclerosis and frontotemporal dementia,Pasetto L.,Brain,00068950,14602156,144,12,3710-3726,2021-12-01,1 December 2021,10.1093/brain/awab333,"Aggregation and cytoplasmic mislocalization of TDP-43 are pathological hallmarks of amyotrophic lateral sclerosis and frontotemporal dementia spectrum. However, the molecular mechanism by which TDP-43 aggregates form and cause neurodegeneration remains poorly understood. Cyclophilin A, also known as peptidyl-prolyl cis-trans isomerase A (PPIA), is a foldase and molecular chaperone. We previously found that PPIA interacts with TDP-43 and governs some of its functions, and its deficiency accelerates disease in a mouse model of amyotrophic lateral sclerosis. Here we characterized PPIA knock-out mice throughout their lifespan and found that they develop a neurodegenerative disease with key behavioural features of frontotemporal dementia, marked TDP-43 pathology and late-onset motor dysfunction. In the mouse brain, deficient PPIA induces mislocalization and aggregation of the GTP-binding nuclear protein Ran, a PPIA interactor and a master regulator of nucleocytoplasmic transport, also for TDP-43. Moreover, in absence of PPIA, TDP-43 autoregulation is perturbed and TDP-43 and proteins involved in synaptic function are downregulated, leading to impairment of synaptic plasticity. Finally, we found that PPIA was downregulated in several patients with amyotrophic lateral sclerosis and amyotrophic lateral sclerosis-frontotemporal dementia, and identified a PPIA loss-of-function mutation in a patient with sporadic amyotrophic lateral sclerosis. The mutant PPIA has low stability, altered structure and impaired interaction with TDP-43. These findings strongly implicate that defective PPIA function causes TDP-43 mislocalization and dysfunction and should be considered in future therapeutic approaches.",17,34972208,Journal,ar,Article,100,21,21,14317,UKRI,104815,UK Research and Innovation,1,TRUE,all,All Open Access,6,ALS | FTD | mouse model | nucleocytoplasmic transport | Ran | TDP-43 pathology,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85122769239,SCOPUS_ID:85122769239,2-s2.0-85122769239,"Allostatic load, unhealthy behaviors, and depressive symptoms in the Hispanic Community Health Study/Study of Latinos",Rodriquez E.J.,SSM - Population Health,NA,23528273,16,NA,NA,2021-12-01,December 2021,10.1016/j.ssmph.2021.100917,"Background: The Environmental Affordances Model (EAM) proposes that the effects of chronic stress on depression are moderated by unhealthy behaviors and race/ethnicity. The unique social structures and contexts of Hispanics/Latinos in the U.S. may influence such relationships. This study evaluated whether unhealthy behaviors weakened the relationship between allostatic load, a measure of chronic stress, and future elevated depressive symptoms among Hispanic Community Health Study/Study of Latinos participants. Methods: Longitudinal data (2008–2011 and 2014–2017) from 11,623 participants were analyzed. The exposure was allostatic load, an index of twelve established biomarkers categorized using clinically relevant cut points, at Visit 1. Elevated depressive symptoms were operationalized as a score of ≥10 (out of 30) on the CES-D 10 at Visit 2. An index of unhealthy behaviors, with one point each for cigarette smoking, excessive/binge drinking, sedentary behavior, and poor diet quality at Visit 1, was examined as an effect modifier. Multivariable logistic regression, in the overall sample and among Mexicans specifically and adjusted for demographic characteristics and elevated depressive symptoms at Visit 1, was used to model allostatic load, unhealthy behavior index (range: 0–4), and their interaction in relation to elevated depressive symptoms at Visit 2. Results: Overall, greater allostatic load was associated with higher odds of elevated depressive symptoms after at least 6 years (aOR = 1.06, 95% CI = 1.01, 1.10). Overall, individuals with greater allostatic load and an unhealthy behavior index = 1, compared to those with an unhealthy behavior index = 0, had lower odds of elevated depressive symptoms at follow-up (aβ = −0.065, 95% CI = −0.12, −0.007). Conclusions: The relationship between chronic stress and depression was partially moderated among Hispanics/Latinos who engaged in unhealthy behavior, which may have reduced their risk of elevated depressive symptoms given more chronic stress.",9,NA,Journal,ar,Article,100,13,13,21100443787,NIH,HHSN268201300004I / N01-HC-65234,National Institutes of Health,1,TRUE,all,All Open Access,7,Allostasis | Depression | Health behavior | Hispanic americans | Physiological | Stress,100917,S2352827321001920
true,https://api.elsevier.com/content/abstract/scopus_id/85122546742,SCOPUS_ID:85122546742,2-s2.0-85122546742,Novel Human Insulin Isoforms and Ca-Peptide Productb in Islets of Langerhans and Choroid Plexus,Liu Q.R.,Diabetes,00121797,1939327X,70,12,2947-2956,2021-12-01,December 2021,10.2337/db21-0198,"Human insulin (INS) gene diverged from the ancestral genes of invertebrate and mammalian species millions of years ago. We previously found that mouse insulin gene (Ins2) isoforms are expressed in brain choroid plexus (ChP) epithelium cells, where insulin secretion is regulated by serotonin and not by glucose. We further compared human INS isoform expression in postmortem ChP and islets of Langerhans. We uncovered novel INS upstream open reading frame isoforms and their protein products. In addition, we found a novel alternatively spliced isoform that translates to a 74–amino acid (AA) proinsulin containing a shorter 19-AA C-peptide sequence, herein designated Cα-peptide. The middle portion of the conventional C-peptide contains β-sheet (GQVEL) and hairpin (GGGPG) motifs that are not present in Cα-peptide. Islet amyloid polypeptide (IAPP) is not expressed in ChP, and its amyloid formation was inhibited in vitro more efficiently by Cα-peptide than by C-peptide. Of clinical relevance, the ratio of the 74-AA proinsulin to proconvertase-processed Cα-peptide was significantly increased in islets from type 2 diabetes mellitus autopsy donors. Intriguingly, 100 years after the discovery of insulin, we found that INS isoforms are present in ChP from insulin-deficient autopsy donors.",7,34649926,Journal,ar,Article,100,13,13,25487,NIH,ZIC MH002903,National Institutes of Health,1,TRUE,all,All Open Access,8,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85122435981,SCOPUS_ID:85122435981,2-s2.0-85122435981,A deep learning framework identifies dimensional representations of Alzheimer’s Disease from brain structure,Yang Z.,Nature Communications,NA,20411723,12,1,NA,2021-12-01,December 2021,10.1038/s41467-021-26703-z,"Heterogeneity of brain diseases is a challenge for precision diagnosis/prognosis. We describe and validate Smile-GAN (SeMI-supervised cLustEring-Generative Adversarial Network), a semi-supervised deep-clustering method, which examines neuroanatomical heterogeneity contrasted against normal brain structure, to identify disease subtypes through neuroimaging signatures. When applied to regional volumes derived from T1-weighted MRI (two studies; 2,832 participants; 8,146 scans) including cognitively normal individuals and those with cognitive impairment and dementia, Smile-GAN identified four patterns or axes of neurodegeneration. Applying this framework to longitudinal data revealed two distinct progression pathways. Measures of expression of these patterns predicted the pathway and rate of future neurodegeneration. Pattern expression offered complementary performance to amyloid/tau in predicting clinical progression. These deep-learning derived biomarkers offer potential for precision diagnostics and targeted clinical trial recruitment.",59,34862382,Journal,ar,Article,100,332,100,19700182758,NIBIB,RF1AG054409,National Institute of Biomedical Imaging and Bioengineering,1,TRUE,all,All Open Access,9,NA,7065,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85122301714,SCOPUS_ID:85122301714,2-s2.0-85122301714,Mutations in LRRK2 linked to ParkinsonAU : PerPLO disease sequester Rab8a to damaged lysosomes and regulate transferrin-mediated iron uptake in microglia,Mamais A.,PLoS Biology,15449173,15457885,19,12,NA,2021-12-01,December 2021,10.1371/journal.pbio.3001480,"Mutations in leucine-rich repeat kinase 2 (LRRK2) cause autosomal dominant Parkinson disease (PD), while polymorphic LRRK2 variants are associated with sporadic PD. PD-linked mutations increase LRRK2 kinase activity and induce neurotoxicity in vitro and in vivo. The small GTPase Rab8a is a LRRK2 kinase substrate and is involved in receptor-mediated recycling and endocytic trafficking of transferrin, but the effect of PD-linked LRRK2 mutations on the function of Rab8a is poorly understood. Here, we show that gain-of-function mutations in LRRK2 induce sequestration of endogenous Rab8a to lysosomes in overexpression cell models, while pharmacological inhibition of LRRK2 kinase activity reverses this phenotype. Furthermore, we show that LRRK2 mutations drive association of endocytosed transferrin with Rab8a-positive lysosomes. LRRK2 has been nominated as an integral part of cellular responses downstream of proinflammatory signals and is activated in microglia in postmortem PD tissue. Here, we show that iPSC-derived microglia from patients carrying the most common LRRK2 mutation, G2019S, mistraffic transferrin to lysosomes proximal to the nucleus in proinflammatory conditions. Furthermore, G2019S knock-in mice show a significant increase in iron deposition in microglia following intrastriatal LPS injection compared to wild-type mice, accompanied by striatal accumulation of ferritin. Our data support a role of LRRK2 in modulating iron uptake and storage in response to proinflammatory stimuli in microglia.",52,34914695,Journal,ar,Article,100,19,19,12977,NINDS,R01NS110188,National Institute of Neurological Disorders and Stroke,1,TRUE,all,All Open Access,10,NA,e3001480,NA
