@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:issueIdentifier,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,article-number,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,prism:issn,prism:pageRange,pubmed-id,authkeywords,pii
true,https://api.elsevier.com/content/abstract/scopus_id/85143843470,SCOPUS_ID:85143843470,2-s2.0-85143843470,Clinical and Metabolic Signature of UNC13A rs12608932 Variant in Amyotrophic Lateral Sclerosis,Calvo A.,Neurology: Genetics,23767839,8,6,2022-12-26,26 December 2022,10.1212/NXG.0000000000200033,"Background and ObjectivesTo characterize the clinical and cognitive behavioral phenotype and brain 18F-2-fluoro-2-deoxy-d-glucose-PET (18F-FDG-PET) metabolism of patients with amyotrophic lateral sclerosis (ALS) carrying the rs12608932 variant of the UNC13A gene.MethodsThe study population included 1,409 patients with ALS without C9orf72, SOD1, TARDBP, and FUS mutations identified through a prospective epidemiologic ALS register. Control participants included 1,012 geographically matched, age-matched, and sex-matched participants. Clinical and cognitive differences between patients carrying the C/C rs12608932 genotype and those carrying the A/A + A/C genotype were assessed. A subset of patients underwent 18F-FDG-PET.ResultsThe C/C genotype was associated with an increased risk of ALS (odds ratio: 1.54, 95% confidence interval 1.18-2.01, p = 0.001). Patients with the C/C genotype were older, had more frequent bulbar onset, and manifested a higher rate of weight loss. In addition, they showed significantly reduced performance in the letter fluency test, fluency domain of Edinburgh Cognitive and Behavioural ALS Screen (ECAS) and story-based empathy task (reflecting social cognition). Patients with the C/C genotype had a shorter survival (median survival time, C/C 2.25 years, interquartile range [IQR] 1.33-3.92; A/A + C/C: 2.90 years, IQR 1.74-5.41; p = 0.0001). In Cox multivariable analysis, C/C genotype resulted to be an independent prognostic factor. Finally, patients with a C/C genotype had a specific pattern of hypometabolism on brain 18F-FDG-PET extending to frontal and precentral areas of the right hemisphere.DiscussionC/C rs12608932 genotype of UNC13A is associated with a specific motor and cognitive/behavioral phenotype, which reflects on 18F-FDG-PET findings. Our observations highlight the importance of adding the rs12608932 variant in UNC13A to the ALS genetic panel to refine the individual prognostic prediction and reduce heterogeneity in clinical trials.",7,Journal,ar,Article,100,21,21,e200033,21100865008,CYTK,Z01-AG000949-02,Cytokinetics,1,TRUE,all,All Open Access,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85145955253,SCOPUS_ID:85145955253,2-s2.0-85145955253,Enhanced myogenesis through lncFAM-mediated recruitment of HNRNPL to the MYBPC2 promoter,Chang M.W.,Nucleic Acids Research,13624962,50,22,2022-12-09,9 December 2022,10.1093/nar/gkac1174,"The mammalian transcriptome comprises a vast family of long noncoding (lnc)RNAs implicated in physiologic processes such as myogenesis, through which muscle forms during embryonic development and regenerates in the adult. However, the specific molecular mechanisms by which lncRNAs regulate human myogenesis are poorly understood. Here, we identified a novel muscle-specific lncRNA, lncFAM71E1-2:2 (lncFAM), which increased robustly during early human myogenesis. Overexpression of lncFAM promoted differentiation of human myoblasts into myotubes, while silencing lncFAM suppressed this process. As lncFAM resides in the nucleus, chromatin isolation by RNA purification followed by mass spectrometry (ChIRP-MS) analysis was employed to identify the molecular mechanisms whereby it might promote myogenesis. Analysis of lncFAM-interacting proteins revealed that lncFAM recruited the RNA-binding protein HNRNPL to the promoter of MYBPC2, in turn increasing MYBPC2 mRNA transcription and enhancing production of the myogenic protein MYBPC2. These results highlight a mechanism whereby a novel ribonucleoprotein complex, lncFAM-HNRNPL, elevates MYBPC2 expression transcriptionally to promote myogenesis.",9,Journal,ar,Article,100,16,16,NA,14204,NA,undefined,NA,1,TRUE,all,All Open Access,2,03051048,13026-13044,36533518,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85144996686,SCOPUS_ID:85144996686,2-s2.0-85144996686,The paradigm shift: Heartbeat initiation without “the pacemaker cell”,Maltsev V.A.,Frontiers in Physiology,1664042X,13,NA,2022-12-09,9 December 2022,10.3389/fphys.2022.1090162,"The current dogma about the heartbeat origin is based on “the pacemaker cell,” a specialized cell residing in the sinoatrial node (SAN) that exhibits spontaneous diastolic depolarization triggering rhythmic action potentials (APs). Recent high-resolution imaging, however, demonstrated that Ca signals and APs in the SAN are heterogeneous, with many cells generating APs of different rates and rhythms or even remaining non-firing (dormant cells), i.e., generating only subthreshold signals. Here we numerically tested a hypothesis that a community of dormant cells can generate normal automaticity, i.e., “the pacemaker cell” is not required to initiate rhythmic cardiac impulses. Our model includes 1) non-excitable cells generating oscillatory local Ca releases and 2) an excitable cell lacking automaticity. While each cell in isolation was not “the pacemaker cell”, the cell system generated rhythmic APs: The subthreshold signals of non-excitable cells were transformed into respective membrane potential oscillations via electrogenic Na/Ca exchange and further transferred and integrated (computed) by the excitable cells to reach its AP threshold, generating rhythmic pacemaking. Cardiac impulse is an emergent property of the SAN cellular network and can be initiated by cells lacking intrinsic automaticity. Cell heterogeneity, weak coupling, subthreshold signals, and their summation are critical properties of the new pacemaker mechanism, i.e., cardiac pacemaker can operate via a signaling process basically similar to that of “temporal summation” happening in a neuron with input from multiple presynaptic cells. The new mechanism, however, does not refute the classical pacemaker cell-based mechanism: both mechanisms can co-exist and interact within SAN tissue.",2,Journal,ar,Article,100,2,2,1090162,21100215107,NIH,undefined,National Institutes of Health,1,TRUE,all,All Open Access,3,NA,NA,NA,diastolic depolarization | heartbeat | local calcium release | pacemaker mechanism | sinoatrial node,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85144936124,SCOPUS_ID:85144936124,2-s2.0-85144936124,Associations of audiometric hearing and speech-in-noise performance with cognitive decline among older adults: The Baltimore Longitudinal Study of Aging (BLSA),Jiang K.,Frontiers in Neurology,16642295,13,NA,2022-12-09,9 December 2022,10.3389/fneur.2022.1029851,"Background: Established associations between hearing loss and cognitive decline were primarily defined by pure-tone audiometry, which reflects peripheral hearing ability. Speech-in-noise performance, which reflects central hearing ability, is more limited in prior literature. We examined the longitudinal associations of audiometric hearing and speech-in-noise performance with cognitive decline. Methods: We studied 702 participants aged ≥60 years in the Baltimore Longitudinal Study of Aging 2012–2019. Global and domain-specific (language, memory, attention, executive function, visuospatial ability) cognitive performance were assessed by the cognitive assessment battery. Hearing thresholds at 0.5, 1, 2, and 4 kilohertz obtained from pure-tone audiometry were averaged to calculate better-ear pure-tone average (PTA) and participants were categorized as having hearing loss (>25 decibels hearing level [dB HL]) or normal hearing (≤25 dB HL). Speech-in-noise performance was assessed by the Quick Speech-in-Noise (QuickSIN) test, and participants were categorized as having below-median (worse) or above-median performance. Linear mixed effects models with random intercepts and slopes were used to assess baseline cognitive performance and cognitive decline by hearing status. Models adjusted for demographic, lifestyle and disease factors. Results: Participants with audiometric hearing loss showed similar baseline cognitive performance but faster decline in global cognitive function, language, executive function, and attention. Participants with below-median QuickSIN score showed worse baseline cognitive performance in all domains and faster decline in global cognitive function, language, memory, executive function and attention. Conclusions: Audiometric hearing might be targeted to delay cognitive decline. Speech-in-noise performance might be a novel marker and might be more sensitive to memory decline.",8,Journal,ar,Article,100,10,10,1029851,21100212316,NIH,K01AG050699,National Institutes of Health,1,TRUE,all,All Open Access,4,NA,NA,NA,aging | audiometry | cognition | hearing loss | speech perception,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85142881461,SCOPUS_ID:85142881461,2-s2.0-85142881461,Spatial contextual recognition memory updating is modulated by dopamine release in the dorsal hippocampus from the locus coeruleus,Gálvez-Márquez D.K.,Proceedings of the National Academy of Sciences of the United States of America,10916490,119,49,2022-12-06,6 December 2022,10.1073/pnas.2208254119,"Detecting novelty is critical to consolidate declarative memories, such as spatial contextual recognition memory. It has been shown that stored memories, when retrieved, are susceptible to modification, incorporating new information through an updating process. Catecholamine release in the hippocampal CA1 region consolidates an object location memory (OLM). This work hypothesized that spatial contextual memory updating could be changed by decreasing catecholamine release in the hippocampal CA1 terminals from the locus coeruleus (LC). In a mouse model expressing Cre-recombinase under the control of the tyrosine hydroxylase (TH) promoter, memory updating was impaired by photoinhibition of the CA1 catecholaminergic terminals from the LC (LC-CA1) but not from the ventral tegmental area (VTA-CA1). In vivo microdialysis confirmed that the extracellular concentration of both dopamine (DA) and noradrenaline (NA) decreased after photoinhibition of the LC-CA1 terminals (but not VTA-CA1) during the OLM update session. Furthermore, DA D1/D5 and beta-adrenergic receptor antagonists disrupted behavior, but only the former impaired memory updating. Finally, photoinhibition of LC-CA1 terminals suppressed long-term potentiation (LTP) induction in Schaffer’s collaterals as a plausible mechanism for memory updating. These data will help understand the underpinning mechanisms of DA in spatial contextual memory updating.",27,Journal,ar,Article,100,7,7,e2208254119,21121,CONACYT,CF-2023-I-189,Consejo Nacional de Ciencia y Tecnología,1,TRUE,all,All Open Access,5,00278424,NA,36442129,catecholamines | hippocampus | locus coeruleus | memory updating | optogenetics,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85165494630,SCOPUS_ID:85165494630,2-s2.0-85165494630,New methods for analysing circulating cell-free mitochondrial DNA,Noren Hooten N.,Clinical and Translational Discovery,27680622,2,4,2022-12-01,December 2022,10.1002/ctd2.151,NA,1,Journal,no,Note,100,1,1,e151,21101163373,NIH,undefined,National Institutes of Health,1,TRUE,all,All Open Access,6,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85146814098,SCOPUS_ID:85146814098,2-s2.0-85146814098,Longitudinal clinical and biomarker characteristics of non-manifesting LRRK2 G2019S carriers in the PPMI cohort,Simuni T.,npj Parkinson's Disease,23738057,8,1,2022-12-01,December 2022,10.1038/s41531-022-00404-w,"We examined 2-year longitudinal change in clinical features and biomarkers in LRRK2 non-manifesting carriers (NMCs) versus healthy controls (HCs) enrolled in the Parkinson’s Progression Markers Initiative (PPMI). We analyzed 2-year longitudinal data from 176 LRRK2 G2019S NMCs and 185 HCs. All participants were assessed annually with comprehensive motor and non-motor scales, dopamine transporter (DAT) imaging, and biofluid biomarkers. The latter included cerebrospinal fluid (CSF) Abeta, total tau and phospho-tau; serum urate and neurofilament light chain (NfL); and urine bis(monoacylglycerol) phosphate (BMP). At baseline, LRRK2 G2019S NMCs had a mean (SD) age of 62 (7.7) years and were 56% female. 13% had DAT deficit (defined as <65% of age/sex-expected lowest putamen SBR) and 11% had hyposmia (defined as ≤15th percentile for age and sex). Only 5 of 176 LRRK2 NMCs developed PD during follow-up. Although NMCs scored significantly worse on numerous clinical scales at baseline than HCs, there was no longitudinal change in any clinical measures over 2 years or in DAT binding. There were no longitudinal differences in CSF and serum biomarkers between NMCs and HCs. Urinary BMP was significantly elevated in NMCs at all time points but did not change longitudinally. Neither baseline biofluid biomarkers nor the presence of DAT deficit correlated with 2-year change in clinical outcomes. We observed no significant 2-year longitudinal change in clinical or biomarker measures in LRRK2 G2019S NMCs in this large, well-characterized cohort even in the participants with baseline DAT deficit. These findings highlight the essential need for further enrichment biomarker discovery in addition to DAT deficit and longer follow-up to enable the selection of NMCs at the highest risk for conversion to enable future prevention clinical trials.",8,Journal,ar,Article,100,150,100,140,21100982311,NA,undefined,NA,1,TRUE,all,All Open Access,7,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85146127871,SCOPUS_ID:85146127871,2-s2.0-85146127871,Maximizing CRISPRi efficacy and accessibility with dual-sgRNA libraries and optimal effectors,Replogle J.M.,eLife,2050084X,11,NA,2022-12-01,December 2022,10.7554/ELIFE.81856,"CRISPR interference (CRISPRi) enables programmable, reversible, and titratable repression of gene expression (knockdown) in mammalian cells. Initial CRISPRi-mediated genetic screens have showcased the potential to address basic questions in cell biology, genetics, and biotech-nology, but wider deployment of CRISPRi screening has been constrained by the large size of single guide RNA (sgRNA) libraries and challenges in generating cell models with consistent CRISPRi-mediated knockdown. Here, we present next-generation CRISPRi sgRNA libraries and effector expression constructs that enable strong and consistent knockdown across mammalian cell models. First, we combine empirical sgRNA selection with a dual-sgRNA library design to generate an ultra-compact (1–3 elements per gene), highly active CRISPRi sgRNA library. Next, we compare CRISPRi effectors to show that the recently published Zim3-dCas9 provides an excellent balance between strong on-target knockdown and minimal non-specific effects on cell growth or the transcriptome. Finally, we engineer a suite of cell lines with stable expression of Zim3-dCas9 and robust on-target knockdown. Our results and publicly available reagents establish best practices for CRISPRi genetic screening.",36,Journal,ar,Article,100,18,18,e81856,21100242814,NIH,T32 AI132120,National Institutes of Health,1,TRUE,all,All Open Access,8,NA,NA,36576240,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85146071582,SCOPUS_ID:85146071582,2-s2.0-85146071582,Regulation of mitophagy by the NSL complex underlies genetic risk for Parkinson's disease at 16q11.2 and MAPT H1 loci,Soutar M.P.M.,Brain,14602156,145,12,2022-12-01,1 December 2022,10.1093/brain/awac325,"Parkinson's disease is a common incurable neurodegenerative disease. The identification of genetic variants via genome-wide association studies has considerably advanced our understanding of the Parkinson's disease genetic risk. Understanding the functional significance of the risk loci is now a critical step towards translating these genetic advances into an enhanced biological understanding of the disease. Impaired mitophagy is a key causative pathway in familial Parkinson's disease, but its relevance to idiopathic Parkinson's disease is unclear. We used a mitophagy screening assay to evaluate the functional significance of risk genes identified through genome-wide association studies. We identified two new regulators of PINK1-dependent mitophagy initiation, KAT8 and KANSL1, previously shown to modulate lysine acetylation. These findings suggest PINK1-mitophagy is a contributing factor to idiopathic Parkinson's disease. KANSL1 is located on chromosome 17q21 where the risk associated gene has long been considered to be MAPT. While our data do not exclude a possible association between the MAPT gene and Parkinson's disease, they provide strong evidence that KANSL1 plays a crucial role in the disease. Finally, these results enrich our understanding of physiological events regulating mitophagy and establish a novel pathway for drug targeting in neurodegeneration.",30,Journal,ar,Article,100,29,29,NA,14317,NIHR,MR/ N008324/1,National Institute for Health and Care Research,1,TRUE,all,All Open Access,9,00068950,4349-4367,36074904,GWAS | KANSL1 | KAT8 | mitophagy | Parkinson's disease,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85145346656,SCOPUS_ID:85145346656,2-s2.0-85145346656,PhenoExam: gene set analyses through integration of different phenotype databases,Cisterna A.,BMC Bioinformatics,14712105,23,1,2022-12-01,December 2022,10.1186/s12859-022-05122-x,"Background: Gene set enrichment analysis (detecting phenotypic terms that emerge as significant in a set of genes) plays an important role in bioinformatics focused on diseases of genetic basis. To facilitate phenotype-oriented gene set analysis, we developed PhenoExam, a freely available R package for tool developers and a web interface for users, which performs: (1) phenotype and disease enrichment analysis on a gene set; (2) measures statistically significant phenotype similarities between gene sets and (3) detects significant differential phenotypes or disease terms across different databases. Results: PhenoExam generates sensitive and accurate phenotype enrichment analyses. It is also effective in segregating gene sets or Mendelian diseases with very similar phenotypes. We tested the tool with two similar diseases (Parkinson and dystonia), to show phenotype-level similarities but also potentially interesting differences. Moreover, we used PhenoExam to validate computationally predicted new genes potentially associated with epilepsy. Conclusions: We developed PhenoExam, a freely available R package and Web application, which performs phenotype enrichment and disease enrichment analysis on gene set G, measures statistically significant phenotype similarities between pairs of gene sets G and G′ and detects statistically significant exclusive phenotypes or disease terms, across different databases. We proved with simulations and real cases that it is useful to distinguish between gene sets or diseases with very similar phenotypes. Github R package URL is https://github.com/alexcis95/PhenoExam. Shiny App URL is https://alejandrocisterna.shinyapps.io/phenoexamweb/.",1,Journal,ar,Article,100,14,14,567,17929,NIHR,202903/Z/16/Z,National Institute for Health and Care Research,1,TRUE,all,All Open Access,10,NA,NA,36587217,Epilepsy | Phenotype Enrichment Tool | Shiny,NA
