@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:issueIdentifier,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,article-number,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,prism:issn,prism:pageRange,pubmed-id
true,https://api.elsevier.com/content/abstract/scopus_id/85179474074,SCOPUS_ID:85179474074,2-s2.0-85179474074,Cerebrospinal fluid exploratory proteomics and ketamine metabolite pharmacokinetics in human volunteers after ketamine infusion,Moaddel R.,iScience,25890042,26,12,2023-12-15,15 December 2023,10.1016/j.isci.2023.108527,S2589004223026044,"Ketamine is a treatment for both refractory depression and chronic pain syndromes. In order to explore ketamine's potential mechanism of action and whether ketamine or its metabolites cross the blood brain barrier, we examined the pharmacokinetics of ketamine and its metabolites—norketamine (NK), dehydronorketamine (DHNK), and hydroxynorketamines (HNKs)—in cerebrospinal fluid (CSF) and plasma, as well as in an exploratory proteomic analysis in the CSF of nine healthy volunteers who received ketamine intravenously (0.5 mg/kg IV). We found that ketamine, NK, and (2R,6R;2S,6S)-HNK readily crossed the blood brain barrier. Additionally, 354 proteins were altered in the CSF in at least two consecutive timepoints (p < 0.01). Proteins in the classes of tyrosine kinases, cellular adhesion molecules, and growth factors, including insulin, were most affected, suggesting an interplay of altered neurotransmission, neuroplasticity, neurogenesis, synaptogenesis, and neural network functions following ketamine administration.",3,Journal,ar,Article,100,18,18,Health sciences | Medicine | Pharmacology | Psychiatry,108527,21100907125,NIH,ZIAAG000297,National Institutes of Health,1,TRUE,all,All Open Access,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85179171235,SCOPUS_ID:85179171235,2-s2.0-85179171235,"Hospital-treated prevalent infections, the plasma proteome and incident dementia among UK older adults",Beydoun M.A.,iScience,25890042,26,12,2023-12-15,15 December 2023,10.1016/j.isci.2023.108526,S2589004223026032,"The plasma proteome can mediate the association of hospital-treated infections with dementia incidence. We screened up to 37,269 UK Biobank participants aged 50–74 years for the presence of a prevalent hospital-treated infection, subsequently tested as a predictor for ≤1,463 plasma proteins and dementia incidence. Four-way decomposition models decomposed infection-dementia total effect into pure mediation, pure interaction, neither or both through the plasma proteome. Hospital-treated infections increased dementia two-fold. The strongest mediation effect was through the growth differentiation factor 15 (GDF15) protein. Top 17 proteomic mediators explained collectively 5% of the total effect, while pathway analysis of all mediators (k = 221 plasma proteins) revealed top pathways including the immune system, signal transduction, metabolism, disease and metabolism of proteins, with the GDF15 cluster reflecting most strongly the “transmembrane receptor protein tyrosine kinase signaling pathway”. The association of hospital-treated infections with dementia was partially mediated through GDF15 and other plasma proteomic markers.",7,Journal,ar,Article,100,11,11,Microbiome | Neurology | Public health,108526,21100907125,NIH,AG000513,National Institutes of Health,1,TRUE,all,All Open Access,2,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85180011984,SCOPUS_ID:85180011984,2-s2.0-85180011984,The RNA-binding motif protein 14 regulates telomere integrity at the interface of TERRA and telomeric R-loops,Wang Y.,Nucleic Acids Research,13624962,51,22,2023-12-11,11 December 2023,10.1093/nar/gkad967,NA,"Telomeric repeat-containing RNA (TERRA) and its formation of RNA:DNA hybrids (or TERRA R-loops), influence telomere maintenance, particularly in human cancer cells that use homologous recombination-mediated alternative lengthening of telomeres. Here, we report that the RNA-binding motif protein 14 (RBM14) is associated with telomeres in human cancer cells. RBM14 negatively regulates TERRA expression. It also binds to TERRA and inhibits it from forming TERRA R-loops at telomeres. RBM14 depletion has several effects, including elevated TERRA levels, telomeric R-loops, telomere dysfunction-induced DNA damage foci formation, particularly in the presence of DNA replication stress, pRPA32 accumulation at telomeres and telomere signal-free ends. Thus, RBM14 protects telomere integrity via modulating TERRA levels and its R-loop formation at telomeres.",4,Journal,ar,Article,100,10,10,NA,NA,14204,NIA,undefined,National Institute on Aging,1,TRUE,all,All Open Access,3,03051048,12242-12260,37930826
true,https://api.elsevier.com/content/abstract/scopus_id/85179493481,SCOPUS_ID:85179493481,2-s2.0-85179493481,Cognitive Aging and the Primate Basal Forebrain Revisited: Disproportionate GABAergic Vulnerability Revealed,Bañuelos C.,Journal of Neuroscience,15292401,43,49,2023-12-06,6 December 2023,10.1523/JNEUROSCI.0456-23.2023,NA,"Basal forebrain (BF) projections to the hippocampus and cortex are anatomically positioned to influence a broad range of cognitive capacities that are known to decline in normal aging, including executive function and memory. Although a long history of research on neurocognitive aging has focused on the role of the cholinergic basal forebrain system, intermingled GABAergic cells are numerically as prominent and well-positioned to regulate the activity of their cortical projection targets, including the hippocampus and prefrontal cortex. The effects of aging on non-cholinergic BF neurons in primates, however, are largely unknown. In this study, we conducted quantitative morphometric analyses in brains from young adult (6 females, 2 males) and aged (11 females, 5 males) rhesus monkeys (Macaca mulatta) that displayed significant impairment on standard tests that require the prefrontal cortex and hippocampus. Cholinergic (ChAT+) and GABAergic (GAD67+) neurons were quantified through the full rostrocaudal extent of the BF. Total BF immunopositive neuron number (ChAT+ plus GAD67+) was significantly lower in aged monkeys compared to young, largely due to fewer GAD67+ cells. Additionally, GAD67+ neuron volume was greater selectively in aged monkeys without cognitive impairment compared to young monkeys. These findings indicate that the GABAergic component of the primate BF is disproportionally vulnerable to aging, implying a loss of inhibitory drive to cortical circuitry. Moreover, adaptive reorganization of the GABAergic circuitry may contribute to successful neurocognitive outcomes.",4,Journal,ar,Article,100,10,10,NA,NA,16764,NA,undefined,NA,1,TRUE,all,All Open Access,4,02706474,NA,37798131
true,https://api.elsevier.com/content/abstract/scopus_id/85203814889,SCOPUS_ID:85203814889,2-s2.0-85203814889,Deep learning-based polygenic risk analysis for Alzheimer’s disease prediction,Zhou X.,Communications Medicine,2730664X,3,1,2023-12-01,December 2023,10.1038/s43856-023-00269-x,NA,"Background: The polygenic nature of Alzheimer’s disease (AD) suggests that multiple variants jointly contribute to disease susceptibility. As an individual’s genetic variants are constant throughout life, evaluating the combined effects of multiple disease-associated genetic risks enables reliable AD risk prediction. Because of the complexity of genomic data, current statistical analyses cannot comprehensively capture the polygenic risk of AD, resulting in unsatisfactory disease risk prediction. However, deep learning methods, which capture nonlinearity within high-dimensional genomic data, may enable more accurate disease risk prediction and improve our understanding of AD etiology. Accordingly, we developed deep learning neural network models for modeling AD polygenic risk. Methods: We constructed neural network models to model AD polygenic risk and compared them with the widely used weighted polygenic risk score and lasso models. We conducted robust linear regression analysis to investigate the relationship between the AD polygenic risk derived from deep learning methods and AD endophenotypes (i.e., plasma biomarkers and individual cognitive performance). We stratified individuals by applying unsupervised clustering to the outputs from the hidden layers of the neural network model. Results: The deep learning models outperform other statistical models for modeling AD risk. Moreover, the polygenic risk derived from the deep learning models enables the identification of disease-associated biological pathways and the stratification of individuals according to distinct pathological mechanisms. Conclusion: Our results suggest that deep learning methods are effective for modeling the genetic risks of AD and other diseases, classifying disease risks, and uncovering disease mechanisms.",24,Journal,ar,Article,100,326,100,NA,49,21101215100,NA,undefined,NA,1,TRUE,all,All Open Access,5,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85181395521,SCOPUS_ID:85181395521,2-s2.0-85181395521,Optimizing Brain Health of United States Special Operations Forces,Edlow B.L.,Journal of Special Operations Medicine,NA,23,4,2023-12-01,Winter 2023,10.55460/99QW-K0HG,NA,"United States Special Operations Forces (SOF) personnel are frequently exposed to explosive blasts in training and combat. However, the effects of repeated blast exposure on the human brain are incompletely understood. Moreover, there is currently no diagnostic test to detect repeated blast brain injury (rBBI). In this “Human Performance Optimization” article, we discuss how the development and implementation of a reliable diagnostic test for rBBI has the potential to promote SOF brain health, combat readiness, and quality of life.",3,Journal,ar,Article,100,34,34,blast overpressure | brain injury | human performance optimization | sof | special operations forces,NA,19600166312,DOD,H9240520D0001,U.S. Department of Defense,0,FALSE,NA,NA,6,15539768,47-56,37851859
true,https://api.elsevier.com/content/abstract/scopus_id/85181176829,SCOPUS_ID:85181176829,2-s2.0-85181176829,Chromosome 8p engineering reveals increased metastatic potential targetable by patient-specific synthetic lethality in liver cancer,Huth T.,Science Advances,23752548,9,51,2023-12-01,December 2023,10.1126/SCIADV.ADH1442,NA,"Large-scale chromosomal aberrations are prevalent in human cancer, but their function remains poorly understood. We established chromosome-engineered hepatocellular carcinoma cell lines using CRISPR-Cas9 genome editing. A 33-mega-base pair region on chromosome 8p (chr8p) was heterozygously deleted, mimicking a frequently observed chromosomal deletion. Using this isogenic model system, we delineated the functional consequences of chr8p loss and its impact on metastatic behavior and patient survival. We found that metastasisassociated genes on chr8p act in concert to induce an aggressive and invasive phenotype characteristic for chr8p-deleted tumors. Genome-wide CRISPR-Cas9 viability screening in isogenic chr8p-deleted cells served as a powerful tool to find previously unidentified synthetic lethal targets and vulnerabilities accompanying patient-specific chromosomal alterations. Using this target identification strategy, we showed that chr8p deletion sensitizes tumor cells to targeting of the reactive oxygen sanitizing enzyme Nudix hydrolase 17. Thus, chromosomal engineering allowed for the identification of novel synthetic lethalities specific to chr8p loss of heterozygosity.",9,Journal,ar,Article,100,20,20,NA,eadh1442,21100457028,NIH,314905040 SFB TRR209,National Institutes of Health,1,TRUE,all,All Open Access,7,NA,NA,38134284
true,https://api.elsevier.com/content/abstract/scopus_id/85180710806,SCOPUS_ID:85180710806,2-s2.0-85180710806,"A Phase I/II Clinical Trial of Intradermal, Controllable Self-Replicating Ribonucleic Acid Vaccine EXG-5003 against SARS-CoV-2",Koseki T.,Vaccines,2076393X,11,12,2023-12-01,December 2023,10.3390/vaccines11121767,NA,"mRNA vaccines against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) have played a key role in reducing morbidity and mortality from coronavirus disease 2019 (COVID-19). We conducted a double-blind, placebo-controlled phase I/II trial to evaluate the safety, tolerability, and immunogenicity of EXG-5003, a two-dose, controllable self-replicating RNA vaccine against SARS-CoV-2. EXG-5003 encodes the receptor binding domain (RBD) of SARS-CoV-2 and was administered intradermally without lipid nanoparticles (LNPs). The participants were followed for 12 months. Forty healthy participants were enrolled in Cohort 1 (5 µg per dose, n = 16; placebo, n = 4) and Cohort 2 (25 µg per dose, n = 16; placebo, n = 4). No safety concerns were observed with EXG-5003 administration. SARS-CoV-2 RBD antibody titers and neutralizing antibody titers were not elevated in either cohort. Elicitation of antigen-specific cellular immunity was observed in the EXG-5003 recipients in Cohort 2. At the 12-month follow-up, participants who had received an approved mRNA vaccine (BNT162b2 or mRNA-1273) >1 month after receiving the second dose of EXG-5003 showed higher cellular responses compared with equivalently vaccinated participants in the placebo group. The findings suggest a priming effect of EXG-5003 on the long-term cellular immunity of approved SARS-CoV-2 mRNA vaccines.",5,Journal,ar,Article,100,21,21,COVID-19 | immunogenicity | messenger RNA | receptor-binding domain | safety | self-amplifying RNA | self-replicating RNA,1767,21100335701,JSPS,23K27843,Japan Society for the Promotion of Science,1,TRUE,all,All Open Access,8,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85180451382,SCOPUS_ID:85180451382,2-s2.0-85180451382,Open-Label Sulforaphane Trial in FMR1 Premutation Carriers with Fragile-X-Associated Tremor and Ataxia Syndrome (FXTAS),Santos E.,Cells,20734409,12,24,2023-12-01,December 2023,10.3390/cells12242773,NA,"Fragile X (FMR1) premutation is a common mutation that affects about 1 in 200 females and 1 in 450 males and can lead to the development of fragile-X-associated tremor/ataxia syndrome (FXTAS). Although there is no targeted, proven treatment for FXTAS, research suggests that sulforaphane, an antioxidant present in cruciferous vegetables, can enhance mitochondrial function and maintain redox balance in the dermal fibroblasts of individuals with FXTAS, potentially leading to improved cognitive function. In a 24-week open-label trial involving 15 adults aged 60–88 with FXTAS, 11 participants successfully completed the study, demonstrating the safety and tolerability of sulforaphane. Clinical outcomes and biomarkers were measured to elucidate the effects of sulforaphane. While there were nominal improvements in multiple clinical measures, they were not significantly different after correction for multiple comparisons. PBMC energetic measures showed that the level of citrate synthase was higher after sulforaphane treatment, resulting in lower ATP production. The ratio of complex I to complex II showed positive correlations with the MoCA and BDS scores. Several mitochondrial biomarkers showed increased activity and quantity and were correlated with clinical improvements.",6,Journal,ar,Article,100,19,19,FMR1 | FXTAS | neurodegeneration | sulforaphane,2773,21100978391,NIH,R21NS128751,National Institutes of Health,1,TRUE,all,All Open Access,9,NA,NA,38132093
true,https://api.elsevier.com/content/abstract/scopus_id/85180450746,SCOPUS_ID:85180450746,2-s2.0-85180450746,Effect of Meditation on Brain Activity during an Attention Task: A Comparison Study of ASL and BOLD Task fMRI,Zhang Y.,Brain Sciences,20763425,13,12,2023-12-01,December 2023,10.3390/brainsci13121653,NA,"Focused attention meditation (FAM) training has been shown to improve attention, but the neural basis of FAM on attention has not been thoroughly understood. Here, we aim to investigate the neural effect of a 2-month FAM training on novice meditators in a visual oddball task (a frequently adopted task to evaluate attention), evaluated with both ASL and BOLD fMRI. Using ASL, activation was increased in the middle cingulate (part of the salience network, SN) and temporoparietal (part of the frontoparietal network, FPN) regions; the FAM practice time was negatively associated with the longitudinal changes in activation in the medial prefrontal (part of the default mode network, DMN) and middle frontal (part of the FPN) regions. Using BOLD, the FAM practice time was positively associated with the longitudinal changes of activation in the inferior parietal (part of the dorsal attention network, DAN), dorsolateral prefrontal (part of the FPN), and precentral (part of the DAN) regions. The effect sizes for the activation changes and their association with practice time using ASL are significantly larger than those using BOLD. Our study suggests that FAM training may improve attention via modulation of the DMN, DAN, SN, and FPN, and ASL may be a sensitive tool to study the FAM effect on attention.",0,Journal,ar,Article,100,9,9,arterial spin labeling | default mode network | dorsal attention network | functional magnetic resonance imaging | meditation | task fMRI,1653,21100367158,NSF,CMMI-2123061,National Science Foundation,1,TRUE,all,All Open Access,10,NA,NA,NA
