@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,authkeywords,fund-acr,fund-sponsor,article-number,pii
true,https://api.elsevier.com/content/abstract/scopus_id/85209154482,SCOPUS_ID:85209154482,2-s2.0-85209154482,Alzheimer Disease as a Clinical-Biological Construct - An International Working Group Recommendation,Dubois B.,JAMA Neurology,21686149,21686157,81,12,1304-1311,2024-12-09,9 December 2024,10.1001/jamaneurol.2024.3770,"Importance: Since 2018, a movement has emerged to define Alzheimer disease (AD) as a purely biological entity based on biomarker findings. The recent revision of the Alzheimer's Association (AA) criteria for AD furthers this direction. However, concerns about a purely biological definition of AD being applied clinically, the understanding of AD by society at large, and the translation of blood-based biomarkers into clinical practice prompt these International Working Group (IWG) updated recommendations. Objective: To consider the revised AA criteria and to offer an alternative definitional view of AD as a clinical-biological construct for clinical use. The recommendations of the 2021 IWG diagnostic criteria are updated for further elaborating at-risk and presymptomatic states. Evidence Review: PubMed was searched for articles published between July 1, 2020, and March 1, 2024, using the terms ""biomarker""OR ""amyloid""OR ""tau""OR ""neurodegeneration""OR ""preclinical""OR ""CSF""OR ""PET""OR ""plasma""AND ""Alzheimer's disease.""The references of relevant articles were also searched. Findings: In the new AA diagnostic criteria, AD can be defined clinically as encompassing cognitively normal people having a core 1 AD biomarker. However, recent literature shows that the majority of biomarker-positive cognitively normal individuals will not become symptomatic along a proximate timeline. In the clinical setting, disclosing a diagnosis of AD to cognitively normal people with only core 1 AD biomarkers represents the most problematic implication of a purely biological definition of the disease. Conclusions and Relevance: The ultimate aim of the field was to foster effective AD treatments, including preventing symptoms and dementia. The approach of diagnosing AD without a clinical and biological construct would be unwarranted and potentially concerning without a clear knowledge of when or whether symptoms will ever develop. It is recommended that those who are amyloid-positive only and, more generally, most biomarker-positive cognitively normal individuals, should not be labeled as having AD. Rather, they should be considered as being at risk for AD. The expansion of presymptomatic AD is viewed as a better diagnostic construct for those with a specific pattern of biomarkers, indicating that they are proximate to the expression of symptoms in the near future.",38,39483064,Journal,re,Review,100,45,45,21100228519,undefined,0,FALSE,all,All Open Access,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85208056352,SCOPUS_ID:85208056352,2-s2.0-85208056352,Variability of 7K and 11K SomaScan Plasma Proteomics Assays,Candia J.,Journal of Proteome Research,15353893,15353907,23,12,5531-5539,2024-12-06,6 December 2024,10.1021/acs.jproteome.4c00667,"SomaScan is an aptamer-based proteomics assay designed for the simultaneous measurement of thousands of human proteins with a broad range of endogenous concentrations. The 7K SomaScan assay has recently been expanded into the new 11K version. Following up on our previous assessment of the 7K assay, here, we expand our work on technical replicates from donors enrolled in the Baltimore Longitudinal Study of Aging. By generating SomaScan data from a second batch of technical replicates in the 7K version as well as additional intra- and interplate replicate measurements in the new 11K version using the same donor samples, this work provides useful precision benchmarks for the SomaScan user community. Beyond updating our previous technical assessment of the 7K assay with increased statistics, here, we estimate interbatch variability, assess inter- and intraplate variability in the new 11K assay, compare the observed variability between the 7K and 11K assays (leveraging the use of overlapping pairs of technical replicates), and explore the potential effects of sample storage time (ranging from 2 to 30 years) in the assays’ precision.",2,39473295,Journal,ar,Article,100,8,8,17625,undefined,1,TRUE,all,All Open Access,2,11K | 7K | coefficient of variation | plasma | precision | proteomics | replicability | reproducibility | SomaLogic | SOMAmers | SomaScan | variability,NIA,National Institute on Aging,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85211694751,SCOPUS_ID:85211694751,2-s2.0-85211694751,Global Perspectives on Returning Genetic Research Results in Parkinson Disease,Tan A.H.,Neurology: Genetics,NA,23767839,10,6,NA,2024-12-05,5 December 2024,10.1212/NXG.0000000000200213,"Background and ObjectivesIn the era of precision medicine, genetic test results have become increasingly relevant in the care of patients with Parkinson disease (PD). While large research consortia are performing widespread research genetic testing to accelerate discoveries, debate continues about whether, and to what extent, the results should be returned to patients. Ethically, it is imperative to keep participants informed, especially when findings are potentially actionable. However, research testing may not hold the same standards required from clinical diagnostic laboratories and hold significant psychosocial implications. The absence of universally recognized protocols complicates the establishment of appropriate guidelines.MethodsAiming to develop recommendations on return of research results (RoR) practice within the Global Parkinson's Genetics Program (GP2), we conducted a global survey to gain insight on GP2 members' perceptions, practice, readiness, and needs surrounding RoR.ResultsGP2 members (n = 191), representing 147 institutions and 60 countries across 6 continents, completed the survey. Access to clinical genetic testing services was significantly higher in high-income countries compared with low- and middle-income countries (96.6% vs 58.4%), where funding was predominantly covered by patients themselves. While 92.7% of the respondents agreed that genetic research results should be returned, levels of agreement were higher for clinically relevant results relating to pathogenic or likely pathogenic variants in genes known to cause PD or other neurodegenerative diseases. Less than 10% offered separate clinically accredited genetic testing before returning genetic research results. A total of 48.7% reported having a specific statement on RoR policy in their ethics consent form, while 53.9% collected data on participants' preferences on RoR prospectively. 24.1% had formal genetic counselling training. Notably, the comfort level in returning incidental genetic findings or returning results to unaffected individuals remains low.DiscussionGiven the differences in resources and training for RoR, as well as ethical and regulatory considerations, tailored approaches are required to ensure equitable access to RoR. Several identified strategies to enhance RoR practices include improving informed consent processes, increasing capacity for genetic counselling including providing counselling toolkits for common genetic variants, broadening access to sustainable clinically accredited testing, building logistical infrastructure for RoR processes, and continuing public and health care education efforts on the important role of genetics in PD.",1,NA,Journal,ar,Article,100,18,18,21100865008,undefined,0,FALSE,NA,NA,3,NA,ASAP,Aligning Science Across Parkinson's,e200213,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85211160505,SCOPUS_ID:85211160505,2-s2.0-85211160505,"Different germline variants in the XPA gene are associated with severe, intermediate, or mild neurodegeneration in xeroderma pigmentosum patients",Sagun J.P.,PLoS Genetics,15537390,15537404,20,12,NA,2024-12-02,2 December 2024,10.1371/journal.pgen.1011265,"Xeroderma pigmentosum (XP) is a rare autosomal recessive disease caused by pathogenic variants in seven nucleotide excision repair genes (XPA to XPG) and POLH involved in translesion synthesis. XP patients have a >1000-fold increased risk for sunlight-induced skin cancers. Many Japanese XP-A patients have severe neurological symptoms due to a founder variant in intron 3 of the XPA gene. However, in the United States we found XP-A patients with milder clinical features. We developed a simple scoring scale to assess XP-A patients of varying neurological disease severity. We report 18 XP-A patients examined between 1973 and 2023 under an IRB approved natural history study. Using our scale, we classified our XP-A cohort into severe (n = 8), intermediate (n = 5), and mild (n = 5) disease groups at age 10 years. DNA repair tests demonstrated greatest reduction of DNA repair in cells from severe patients as compared to cells from mild patients. Nucleotide sequencing identified 18 germline pathogenic variants in the 273 amino acid, 6 exon-containing XPA gene. Based on patient clinical features, we associated these XPA variants to severe (n = 8), intermediate (n = 6), and mild (n = 4) clinical phenotypes in the patients. Protein structural analysis showed that nonsense and frameshift premature stop codon pathogenic variants located in exons 3 and 5 correlated with severe disease. Intermediate disease correlated with a splice variant at the last base in exon 4. Mild disease correlated with a frameshift variant in exon 1 with a predicted re-initiation in exon 2; a splice variant that created a new strong donor site in intron 4; and a large genomic deletion spanning exon 6. Our findings revealed correlations between disease severity, DNA repair capacity, and XPA variant type and location. In addition, both XPA alleles contributed to the phenotypic differences in XP-A patients.",0,39621777,Journal,ar,Article,100,7,7,4000151808,undefined,1,TRUE,all,All Open Access,4,NA,NIH,National Institutes of Health,e1011265,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85218636382,SCOPUS_ID:85218636382,2-s2.0-85218636382,ProtPipe: A Multifunctional Data Analysis Pipeline for Proteomics and Peptidomics,Li Z.,"Genomics, Proteomics and Bioinformatics",16720229,22103244,22,6,NA,2024-12-01,1 December 2024,10.1093/gpbjnl/qzae083,"Mass spectrometry (MS) is a technique widely employed for the identification and characterization of proteins, with personalized medicine, systems biology, and biomedical applications. The application of MS-based proteomics advances our understanding of protein function, cellular signaling, and complex biological systems. MS data analysis is a critical process that includes identifying and quantifying proteins and peptides and then exploring their biological functions in downstream analyses. To address the complexities associated with MS data analysis, we developed ProtPipe to streamline and automate the processing and analysis of high-throughput proteomics and peptidomics datasets with DIA-NN preinstalled. The pipeline facilitates data quality control, sample filtering, and normalization, ensuring robust and reliable downstream analyses. ProtPipe provides downstream analyses, including protein and peptide differential abundance identification, pathway enrichment analysis, protein-protein interaction analysis, and major histocompatibility complex (MHC)-peptide binding affinity analysis. ProtPipe generates annotated tables and visualizations by performing statistical post-processing and calculating fold changes between predefined pairwise conditions in an experimental design. It is an open-source, well-documented tool available at https://github.com/NIH-CARD/ProtPipe, with a user-friendly web interface.",0,39576693,Journal,ar,Article,100,24,24,89440,ZIAAG000534,1,TRUE,all,All Open Access,5,Data analysis pipeline | Immunopeptidomics | Mass spectrometry | Proteomics | ProtPipe,NIH,Biogen,qzae083,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85214794195,SCOPUS_ID:85214794195,2-s2.0-85214794195,"Plasma ADRD biomarkers predict longitudinal declines in intra-network functional brain connectivity, and baseline functional connectivity predicts longitudinal cognition",Dark H.E.,Alzheimer's and Dementia,15525260,15525279,20,S2,NA,2024-12-01,December 2024,10.1002/alz.092515,"Background: AD is defined by cortical amyloid-β (Aβ), tau neurofibrillary tangles, and neurodegeneration, pathological processes which may contribute to cognitive decline by altering large scale functional brain networks. To test this hypothesis, we examined whether plasma biomarkers of AD pathology (Aβ42/40, phosphorylated tau [pTau-181]), astrogliosis (glial fibrillary acidic protein [GFAP]), and neuronal injury (neurofilament light chain [NfL]) related to longitudinal changes in resting-state functional connectivity (rsFC) in cognitively unimpaired participants from the Baltimore Longitudinal Study of Aging. Method: Baseline plasma biomarkers were measured with Quanterix SIMOA assays. Functional connectivity (3T resting-state fMRI) was derived using a predefined cortical parcellation mask from which intra-network connectivity from seven functional networks was extracted for each participant. Amyloid status (positive/negative) was defined using plasma Aβ42/40 (Figure 1). Linear mixed effects models adjusted for age, sex, race, education, gray matter volume, and time-covariate interactions were used to determine whether 1) baseline plasma biomarkers predicted longitudinal changes in rsFC, 2) the magnitude of the biomarker-related rsFC changes differed by amyloid status, and 3) rsFC predicted longitudinal changes in cognition. Result: Longitudinal connectivity analyses (mean age±SD=65.49±16.17) included 490 participants (1190 visits; mean follow-up time=4.31±1.68 years). Higher Aβ42/40, GFAP, and NfL were associated with faster declines in rsFC within several networks (P-range=0.01-0.04; Figure 2). Overall, plasma biomarker-rsFC associations differed by amyloid status (P-range=0.01-0.045). Among amyloid-positive participants, lower levels of Aβ42/40, and higher levels of GFAP, and NfL (Figure 2) were associated with faster declines in rsFC in the visual, dorsal and ventral attention, limbic, and frontoparietal networks (P range=<0.002-0.04). There were no statistically significant associations between plasma biomarkers and rsFC change among amyloid-negative participants. Among 760 participants with at least one rsFC scan (mean age±SD=67.21±14.93; 1550 visits, follow-up time=3.94±1.60 years), we found that baseline rsFC in several networks predicted changes in cognition, e.g., working memory, verbal fluency, and visuospatial abilities (P range=0.02-0.049; Figure 3). Conclusion: Among cognitively normal individuals, plasma biomarkers of Aβ42/40, astrogliosis, and neuronal injury are associated with future intra-network functional brain changes, particularly in the context of elevated amyloid. Hypo- and hyper- intra-network connectivity may drive changes in cognitive performance.",0,NA,Journal,no,Note,100,9,9,3600148102,undefined,1,TRUE,all,All Open Access,6,NA,NA,NA,e092515,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85214055343,SCOPUS_ID:85214055343,2-s2.0-85214055343,"Sleep patterns, global mental status and mortality risk among middle-aged urban adults",Beydoun M.A.,Journal of Alzheimer's disease : JAD,NA,18758908,102,4,1155-1171,2024-12-01,1 December 2024,10.1177/13872877241297111,"BACKGROUND: Sleep, cognition, and mortality may be interdependent. OBJECTIVE: We explored paths between sleep, cognition and mortality and potential interactions. METHODS: The study examines the relationship among sleep, global mental status, and mortality risk using data from 1364 participants from the Healthy Aging in Neighborhood of Diversity across the Life Span (HANDLS) study. We used Cox proportional hazards models and four-way decomposition models to analyze sleep patterns and global mental status. RESULTS: After a median time at risk of 8.2 years, 172 deaths occurred, with rate of 16 per 1000 person-years. A 1-unit increase in the Pittsburgh Sleep Quality Index (PSQI) global score was linked to a 7% increase in mortality risk in the reduced model, but this effect was attenuated in the full model. In both reduced and fully adjusted models, the PSQI global score and sleep quality domains interacted with global mental status, with poor sleep generally associated with mortality risk in the group with better global mental status at first-visit. In four-way decomposition models, total effects (TE) of PSQI scores on mortality risk were positive and statistically significant, while being mostly controlled direct effects. However, among women, the inverse TE of global mental status on mortality risk was partially mediated by PSQI sleep latency and the PSQI global. CONCLUSIONS: Poor global mental status is associated with greater mortality risk at better sleep quality levels and vice versa. Further longitudinal studies with multiple sleep and cognitive performance repeats are needed to corroborate these findings.",0,39610286,Journal,ar,Article,100,9,9,16246,undefined,0,FALSE,NA,NA,7,Alzheimer's disease | global mental status | mortality | sleep | urban adults,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85213729348,SCOPUS_ID:85213729348,2-s2.0-85213729348,Higher skeletal muscle mitochondrial oxidative capacity is associated with preserved brain structure up to over a decade,Tian Q.,Nature Communications,NA,20411723,15,1,NA,2024-12-01,December 2024,10.1038/s41467-024-55009-z,"Impaired muscle mitochondrial oxidative capacity is associated with future cognitive impairment, and higher levels of PET and blood biomarkers of Alzheimer’s disease and neurodegeneration. Here, we examine its associations with up to over a decade-long changes in brain atrophy and microstructure. Higher in vivo skeletal muscle oxidative capacity via MR spectroscopy (post-exercise recovery rate, kPCr) is associated with less ventricular enlargement and brain aging progression, and less atrophy in specific regions, notably primary sensorimotor cortex, temporal white and gray matter, thalamus, occipital areas, cingulate cortex, and cerebellum white matter. Higher kPCr is also associated with less microstructural integrity decline in white matter around cingulate, including superior longitudinal fasciculus, corpus callosum, and cingulum. Higher in vivo muscle oxidative capacity is associated with preserved brain structure up to over a decade, particularly in areas important for cognition, motor function, and sensorimotor integration.",1,39737971,Journal,ar,Article,100,6,6,19700182758,undefined,1,TRUE,all,All Open Access,8,NA,NIA,National Institute on Aging,10786,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85213220102,SCOPUS_ID:85213220102,2-s2.0-85213220102,"Curcumin Mitigates Gut Dysbiosis and Enhances Gut Barrier Function to Alleviate Metabolic Dysfunction in Obese, Aged Mice",Lamichhane G.,Biology,NA,20797737,13,12,NA,2024-12-01,December 2024,10.3390/biology13120955,"The gut microbiome plays a critical role in maintaining gut and metabolic health, and its composition is often altered by aging and obesity. This study aimed to investigate the protective effects of curcumin on gut dysbiosis, gut barrier integrity, and bile acid homeostasis in aged mice fed a high-fat, high-sugar diet (HFHSD). Eighteen- to twenty-one-month-old male C57BL/6 mice were divided into groups fed a normal chow diet or HFHSD, with or without curcumin supplementation (0.4% w/w) for 8 and 15 weeks. We assessed body weight, food intake, insulin sensitivity, gut microbiota composition, and gene expression in the gut and liver and performed histological analysis of gut tissues. Curcumin supplementation prevented HFHSD-induced weight gain and metabolic disturbances. In the gut, curcumin-treated mice showed a higher abundance of beneficial bacterial genera, such as Lachnospiraceae, Akkermansia, Mucispirillum, and Verrucomicrobiota, alongside a lower abundance of harmful bacterial genera like Desulfobacteria, Alistipes, and Muribaculaceae compared to control. This shift in gut microbiota was associated with improved gut integrity, as demonstrated by increased expression of the tight junction protein occludin and reduced levels of the pro-inflammatory marker interleukin-1β in the ileum. Additionally, curcumin modulated hepatic gene expression involved in bile acid homeostasis, suggesting a positive effect on liver health. Curcumin supplementation can alleviate the negative effects of aging and an HFHSD on the gut microbiome, improve gut barrier integrity, and maintain bile acid homeostasis. These findings highlight curcumin’s potential as a dietary intervention for managing obesity- and age-associated gut health issues.",0,NA,Journal,ar,Article,100,11,11,21100316035,1-503351,1,TRUE,all,All Open Access,9,aging | curcumin | gut integrity | gut microbiota | inflammation | liver health,NIA,National Institute on Aging,955,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85212878125,SCOPUS_ID:85212878125,2-s2.0-85212878125,Peripheral risk factors and their role in biomarker-based screening for dementia in the community,Hu Y.H.,Alzheimer's and Dementia,15525260,15525279,20,12,8556-8565,2024-12-01,December 2024,10.1002/alz.14293,"INTRODUCTION: Peripheral risk factors (PRFs) may correlate with dementia plasma biomarkers, potentially reflecting peripheral rather than brain health. This study explores the associations between PRFs and plasma biomarkers glial fibrillary acidic protein (GFAP), neurofilament light chain (NfL), and total-tau, and their role in predicting future dementia. METHODS: Data from the Age, Gene/Environment Susceptibility–Reykjavik Study (2002–2015) included 4353 participants mean age of 76.6 years. A subsample of 910 participants tested their association with PRFs and plasma biomarkers’ predictive performance. Sociodemographic, clinical, laboratory, sensory, and lifestyle variables (n = 305) were grouped into 34 clusters. RESULTS: Besides age and estimated glomerular filtration rate (eGFR), significant associations were found between plasma biomarkers and clusters related to hemoglobin, red blood cell distribution, and inflammation. Incorporating these clusters into predictive models enhanced precision and sensitivity, though overall prediction improvement was modest (area under the precision-recall curve: GFAP 0.17 to 0.34, NfL 0.20 to 0.38). DISCUSSION: PRFs are significantly associated with dementia plasma biomarkers; Considering these factors may enhance the predictive accuracy of dementia biomarkers. Highlights: Machine learning identifies key peripheral factors influencing neurodegenerative biomarkers. Hemoglobin and red blood cell distribution cluster associates significantly with biomarker levels. Incorporating diverse peripheral factors modestly enhances incident dementia prediction accuracy in community settings.",0,39718159,Journal,ar,Article,100,8,8,3600148102,HHSN271201200022C,1,TRUE,all,All Open Access,10,cluster | incident dementia | peripheral health factors | plasma biomarker | predictive modeling,IHA,Hjartavernd,NA,NA
