@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:issueIdentifier,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,article-number,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,authkeywords,prism:issn,pii,prism:pageRange
true,https://api.elsevier.com/content/abstract/scopus_id/86000040456,SCOPUS_ID:86000040456,2-s2.0-86000040456,Interplay between CTCF-binding and CTCF-lacking regulatory elements in generating an architectural stripe at the Igh locus,Ma F.,Nature Communications,20411723,16,1,2025-12-01,December 2025,10.1038/s41467-025-57373-w,"Three-dimensional genome organization orchestrates recombination and transcription of immunoglobulin heavy chain (Igh) genes. The structure of wild-type (WT) alleles includes a prominent architectural stripe that extends from a cluster of CTCF binding elements at the 3′ end of the locus (3′CBE), suggesting interactions of this end with sequences throughout the 2 Mb Igh TAD. Here we elucidate interplay between regulatory elements located in the 3′Igh domain (260 kb) that impact the stripe. The CTCF-lacking intronic enhancer, Eµ, promotes stripe formation and tethers sub-TADs between flanking CTCF-bound 3′CBE and IGCR1. Substituting Eµ with an EF1α promoter in different orientations partially recapitulates epigenetic features of WT Igh alleles, including active histone modifications, sub-TAD formation and interactions with the 3′CBE, but does not restore VDJ recombination. Loss of IGCR1 increases the stripe while inverting the 3′CBE redirects the stripe away from the Igh locus. However, inverted 3′CBE continue to serve as a boundary against aberrant activation of genes outside the Igh domain by Eµ. Our observations provide insights into mechanisms by which regulatory elements modulate chromatin structure and stripe formation.",0,40032827,Journal,ar,Article,100,12,12,2148,19700182758,NIA,undefined,National Institute on Aging,1,TRUE,all,All Open Access,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85219645745,SCOPUS_ID:85219645745,2-s2.0-85219645745,Canonical and non-canonical functions of the non-coding RNA component (TERC) of telomerase complex,Cao C.,Cell and Bioscience,20453701,15,1,2025-12-01,December 2025,10.1186/s13578-025-01367-0,"The telomerase complex consists of a protein component (TERT), which has reverse transcriptase activity, and an RNA component (TERC), which serves as a template for telomere synthesis. Evidence is rapidly accumulating regarding the non-canonical functions of these components in both normal or diseased cells. An oligonucleotide-based drug, the first telomerase inhibitor, secured FDA approval in June 2024. We recently summarized the non-canonical functions of TERT in viral infections and cancer. In this review, we expand on these non-canonical functions of TERC beyond telomere maintenance. Specifically, we explore TERC’s roles in cellular aging and senescence, immune regulation, genetic diseases, human cancer, as well as involvement in viral infections and host interactions. Finally, we discuss a transcription product of telomere repeats, TERRA, and explore strategies for targeting TERC as a therapeutic approach.",0,NA,Journal,re,Review,100,14,14,30,19900193985,NIH,R33CA258016,National Institutes of Health,1,TRUE,all,All Open Access,2,Non-canonical functions | Non-coding RNAs | Telomerase | Telomeres | TERC | TERT,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85218679011,SCOPUS_ID:85218679011,2-s2.0-85218679011,"Musculoskeletal diseases, infections and vaccines: state of the art, research perspectives and educational needs",Ecarnot F.,Aging Clinical and Experimental Research,17208319,37,1,2025-12-01,December 2025,10.1007/s40520-025-02940-w,"Musculoskeletal disorders are a significant public health burden concern, projected to increase in the coming decades, and will substantially contribute to the rising prevalence of functional impairment, frailty and disability in a growing global population. Since persons with musculoskeletal disorders tend to have immune dysfunction, inflammation or be taking immunosuppressive medication, prevention of vaccine-preventable diseases (VPDs) in this group is particularly important. The European Interdisciplinary Council for Aging (EICA) and the European Society for Clinical and Economic Aspects of Osteoporosis, Osteoarthritis and Musculoskeletal Diseases (ESCEO) jointly convened a 2-day in-person and virtual meeting on 26–27 September 2023, to review the state of the evidence on the link between musculoskeletal diseases, infections and vaccines. We present here the Executive Summary of the proceedings of this meeting. We review the importance of physical activity in preventing or mitigating both musculoskeletal diseases and risk of infection. We summarize current knowledge of the impact of common VPDs on the development and progression of musculoskeletal diseases, and the role of selected vaccines in preventing onset and worsening of frailty and disability in these individuals. This report summarizes the evidence presented at the two-day meeting, highlighting the need to raise awareness among scientists, healthcare professionals, decision-makers, civil society and the general public about the long-term sequelae of VPDs, with focus on the health status of older patients with musculoskeletal diseases.",0,39985736,Journal,re,Review,100,19,19,46,28496,CNR,undefined,Consiglio Nazionale delle Ricerche,1,TRUE,all,All Open Access,3,Infection | Musculoskeletal disease | Older adults | Vaccination,15940667,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85218675491,SCOPUS_ID:85218675491,2-s2.0-85218675491,Individual bioenergetic capacity as a potential source of resilience to Alzheimer’s disease,Arnold M.,Nature Communications,20411723,16,1,2025-12-01,December 2025,10.1038/s41467-025-57032-0,"Impaired glucose uptake in the brain is an early presymptomatic manifestation of Alzheimer’s disease (AD), with symptom-free periods of varying duration that likely reflect individual differences in metabolic resilience. We propose a systemic “bioenergetic capacity”, the individual ability to maintain energy homeostasis under pathological conditions. Using fasting serum acylcarnitine profiles from the AD Neuroimaging Initiative as a blood-based readout for this capacity, we identified subgroups with distinct clinical and biomarker presentations of AD. Our data suggests that improving beta-oxidation efficiency can decelerate bioenergetic aging and disease progression. The estimated treatment effects of targeting the bioenergetic capacity were comparable to those of recently approved anti-amyloid therapies, particularly in individuals with specific mitochondrial genotypes linked to succinylcarnitine metabolism. Taken together, our findings provide evidence that therapeutically enhancing bioenergetic health may reduce the risk of symptomatic AD. Furthermore, monitoring the bioenergetic capacity via blood acylcarnitine measurements can be achieved using existing clinical assays.",0,39994231,Journal,ar,Article,100,18,18,1910,19700182758,MFMER,N01-AG-12100,Mayo Foundation for Medical Education and Research,1,TRUE,all,All Open Access,4,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85218470407,SCOPUS_ID:85218470407,2-s2.0-85218470407,The intestinal microbiome and metabolome discern disease severity in cytotoxic T-lymphocyte-associated protein 4 deficiency,Chandrasekaran P.,Microbiome,20492618,13,1,2025-12-01,December 2025,10.1186/s40168-025-02028-7,"Background: Cytotoxic T-lymphocyte-associated protein 4 deficiency (CTLA4-D) is an inborn error of immunity (IEI) caused by heterozygous mutations, and characterized by immune cell infiltration into the gut and other organs, leading to intestinal disease, immune dysregulation and autoimmunity. While regulatory T-cell dysfunction remains central to CTLA4-D immunopathogenesis, mechanisms driving disease severity and intestinal pathology are unknown but likely involve intestinal dysbiosis. We determined whether the intestinal microbiome and metabolome could distinguish individuals with severe CTLA4-D and identify biomarkers of disease severity. Results: The genera Veillonella and Streptococcus emerged as biomarkers that distinguished CTLA4-D from healthy cohorts from both the National Institutes of Health (NIH) Clinical Center, USA (NIH; CTLA-D, n = 32; healthy controls, n = 16), and a geographically distinct cohort from the Center for Chronic Immunodeficiency (CCI) of the Medical Center - University of Freiburg, Germany (CCI; CTLA4-D, n = 25; healthy controls, n = 24). Since IEIs in general may be associated with perturbations of the microbiota, a disease control cohort of individuals with common variable immunodeficiency (CVID, n = 20) was included to evaluate for a CTLA4-D-specific microbial signature. Despite common IEI-associated microbiome changes, the two bacterial genera retained their specificity as biomarkers for CTLA4-D. We further identified intestinal microbiome and metabolomic signatures that distinguished patients with CTLA4-D having severe vs. mild disease. Microbiome changes were associated with distinct stool metabolomic profiles and predicted changes in metabolic pathways. These differences were impacted by the presence of gastrointestinal manifestations and were partially reversed by treatment with abatacept and/or sirolimus. Conclusions: Loss of intestinal microbial diversity and dysbiosis causing metabolomic changes was observed in CTLA4-D. Albeit some of these features were shared with CVID, the distinct changes associated with CTLA4-D highlight the fact that IEI-associated microbiome changes likely reflect the underlying immune dysregulation. Identified candidate intestinal microbial and metabolic biomarkers distinguishing individuals with CTLA4-D based on severity should be studied prospectively to determine their predictive value, and investigated as potential therapeutic ta. 5D3rs3jgvo7MqmP_TFVE2KVideo Abstract",2,39934899,Journal,ar,Article,100,20,20,51,21100401152,ULg,480707,Université de Liège,1,TRUE,all,All Open Access,5,Autoimmunity | Common variable immunodeficiency | CTLA4 deficiency | Disease severity | Dysbiosis | Gastrointestinal inflammation | Immune dysregulation | Immunomodulator | Inborn error of immunity | Metabolome | Microbiome,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85218452981,SCOPUS_ID:85218452981,2-s2.0-85218452981,Genetic regulation of TERT splicing affects cancer risk by altering cellular longevity and replicative potential,Florez-Vargas O.,Nature Communications,20411723,16,1,2025-12-01,December 2025,10.1038/s41467-025-56947-y,"The chromosome 5p15.33 region, which encodes telomerase reverse transcriptase (TERT), harbors multiple germline variants identified by genome-wide association studies (GWAS) as risk for some cancers but protective for others. Here, we characterize a variable number tandem repeat within TERT intron 6, VNTR6-1 (38-bp repeat unit), and detect a strong link between VNTR6-1 alleles (Short: 24-27 repeats, Long: 40.5-66.5 repeats) and GWAS signals rs2242652 and rs10069690 within TERT intron 4. Bioinformatics analyses reveal that rs10069690-T allele increases intron 4 retention while VNTR6-1-Long allele expands a polymorphic G-quadruplex (G4, 35-113 copies) within intron 6, with both variants contributing to variable TERT expression through alternative splicing and nonsense-mediated decay. In two cell lines, CRISPR/Cas9 deletion of VNTR6-1 increases the ratio of TERT-full-length (FL) to the alternative TERT-β isoform, promoting apoptosis and reducing cell proliferation. In contrast, treatment with G4-stabilizing ligands shifts splicing from TERT-FL to TERT-β isoform, implicating VNTR6-1 as a splicing switch. We associate the functional variants VNTR6-1, rs10069690, and their haplotypes with multi-cancer risk and age-related telomere shortening. By regulating TERT splicing, these variants may contribute to fine-tuning cellular longevity and replicative potential in the context of stress due to tissue-specific endogenous and exogenous exposures, thereby influencing the cancer risk conferred by this locus.",0,39956830,Journal,ar,Article,100,23,23,1676,19700182758,MRC,N00014-23-1-2057,Scottish Government,1,TRUE,all,All Open Access,6,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85218426928,SCOPUS_ID:85218426928,2-s2.0-85218426928,miR-200c inhibition and catalase accelerate diabetic wound healing,D’Agostino M.,Journal of Biomedical Science,14230127,32,1,2025-12-01,December 2025,10.1186/s12929-024-01113-7,"Background: Reactive oxygen species (ROS) are increased in diabetic conditions and play a causal role in diabetic foot ulcers (DFU). We previously showed that ROS up-regulate miR-200c expression, that in turns causes apoptosis, senescence, ROS upregulation and nitric oxide decrease, leading to endothelial disfunction. Methods: The aim of this study is to dissect miR-200c role in DFU and to explore the potential role of anti-miR-200c and antioxidant catalase (CAT) in promoting wound healing (WH). miR-200c inhibition and CAT treatment were performed either in immortalized keratinocytes (HaCaT) or in primary fibroblasts (FBs) and keratinocytes (KCs) deriving from diabetic patients (pts) undergoing amputations. Primary cells deriving from pts undergoing saphenectomies were used as controls. The miR-200c blockade was performed either via lentiviral particles bearing an anti-miR-200c sequence or locked nucleic acid (LNA) anti-miR-200c oligos. Equine CAT was administered on cell medium. The WH assay was performed in vivo on diabetic (db/db) mice by a topical treatment with CAT and LNA anti-miR-200c on wounds dissolved in a Pluronic gel mixture, administered every three days. Results: We found that miR-200c levels were increased by different stimuli known to induce ROS, such as ultraviolet radiation (UV), hydrogen peroxide (H2O2), and high glucose in HaCaT. miR-200c was also upregulated in skin biopsies, in FBs and KCs isolated from pts with DFU vs controls. Forced miR-200c expression induced ROS in both FBs and KCs, and CAT reduced it. miR-200c inhibition improved WH in HaCaT, both under basal conditions and after UV and H2O2 treatment, and the simultaneous treatment with CAT accelerated it. miR-200c inhibition accelerated WH in KCs of DFU pts, increasing its protein targets: sirtuin 1 (SIRT1), the transcription factors FOXO1 and ZEB1 and decreasing p66Shc phosphorylation at Ser-36, that is induced by ROS, and the co-treatment with CAT showed synergistic effects in reducing ROS and cytotoxicity. Interestingly, CAT treatment decreased miR-200c expression in FBs and KCs of DFU pts. Topical administration of anti-miR-200c and CAT in a WH model of diabetic mice accelerated closure. Conclusions: Anti-miR-200c and CAT could be considered a novel treatment for DFU and, possibly, for other types of non-diabetic skin ulcers.",3,39948670,Journal,ar,Article,100,17,17,21,15849,NIH,RF02362708,National Institutes of Health,1,TRUE,all,All Open Access,7,Apoptosis | Catalase | Diabetic foot ulcers | MicroRNAs | Reactive oxygen species | Skin,10217770,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85218411233,SCOPUS_ID:85218411233,2-s2.0-85218411233,Association between annual concentration of air pollutants and incidence of metabolic syndrome among Korean adults: Korean Genome and Epidemiology Study (KoGES),Shin H.,Environmental Health: A Global Access Science Source,1476069X,24,1,2025-12-01,December 2025,10.1186/s12940-025-01158-7,"Background: Air pollution is a global public health concern and incidence rates of metabolic syndrome (MetS) are increasing. To evaluate the effect of long-term air pollution exposure, we examined the association between long-term exposure to ambient air pollution and the incidences of MetS among Korean adults. Methods: We used data from the Korean Genome and Epidemiology Study’s Cardiovascular Disease Association Study, a population-based cohort consisting of community-dwelling Korean adults between 2005 and 2011, who were followed up with until 2016 (n = 7,428). Air pollution exposure was estimated using the Congestion Mitigation and Air Quality model based on the participants’ addresses. The participants had a physical examination at every visit during follow-up, and MetS was defined based on the National Institute of Health’s National Cholesterol Education Program-Adult Treatment Panel III. We used Cox proportional hazard model to analyze the association between long-term air pollution exposure and incidences of MetS per interquartile range (IQR) increment of the annual concentration after adjusting for potential confounders using single and two-pollutant analysis. Results: The hazard ratios (HR) of MetS per IQR increment in PM2.5, SO2, NO2, and CO were 1.19 (95% CI: 1.12-1.27), 1.57 (95% CI: 1.47-1.68), 1.11 (95% CI: 1.03-1.20), and 1.63 (95% CI: 1.48-1.78), respectively. The incidences of MetS components, which are high blood pressure, elevated fasting glucose, abdominal obesity, high fasting triglyceride (TG), and low fasting high-density lipoprotein (HDL-C), were significantly associated with an IQR increment especially in SO2 and CO. In subgroup analysis, males had higher risk of MetS than females. The HR was the highest in the 60–69 year old age group for all pollutants. Conclusion: In the present study, we found that long-term ambient air pollution exposure increased the incidences of MetS and its components among Korean adults, especially in males and the elderly population.",0,39934787,Journal,ar,Article,100,3,3,3,145480,NA,undefined,NA,1,TRUE,all,All Open Access,8,Adult | Air pollutants | Cohort studies | Incidence | Metabolic syndrome,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85218218616,SCOPUS_ID:85218218616,2-s2.0-85218218616,Rethinking the residual approach: leveraging statistical learning to operationalize cognitive resilience in Alzheimer’s disease,Birkenbihl C.,Brain Informatics,21984026,12,1,2025-12-01,December 2025,10.1186/s40708-024-00249-4,"Cognitive resilience (CR) describes the phenomenon of individuals evading cognitive decline despite prominent Alzheimer’s disease neuropathology. Operationalization and measurement of this latent construct is non-trivial as it cannot be directly observed. The residual approach has been widely applied to estimate CR, where the degree of resilience is estimated through a linear model’s residuals. We demonstrate that this approach makes specific, uncontrollable assumptions and likely leads to biased and erroneous resilience estimates. This is especially true when information about CR is contained in the data the linear model was fitted to, either through inclusion of CR-associated variables or due to correlation. We propose an alternative strategy which overcomes the standard approach’s limitations using machine learning principles. Our proposed approach makes fewer assumptions about the data and CR and achieves better estimation accuracy on simulated ground-truth data.",0,NA,Journal,ar,Article,100,35,35,3,21100853527,NIH,K99AG083063,National Institutes of Health,1,TRUE,all,All Open Access,9,Alzheimer’s disease | Artificial intelligence | Cognitive decline | Cognitive reserve | Cognitive resilience | Dementia | Machine learning | Pathology resistance,21984018,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85217623539,SCOPUS_ID:85217623539,2-s2.0-85217623539,The association of previous and current non-chronic low back pain with daily physical activity in middle- and older-aged adults,Gonçalves T.R.,BMC Public Health,14712458,25,1,2025-12-01,December 2025,10.1186/s12889-025-21453-9,"Background: Low back pain (LBP) is a leading cause of years lived with disability. However, the association of non-chronic LBP with levels of daily physical activity (PA) remains poorly explored. This study investigated the association between previous and current non-chronic LBP with daily PA and compliance with PA recommendations in middle and older-aged adults. Methods: This is a cross-sectional analysis including volunteers from the Baltimore Longitudinal Study of Aging who answered questions about LBP and wore an Actiheart accelerometer for 7days. Generalized linear models and logistic models were used and adjusted for potential confounders. Results: 662 volunteers were included (50.8% women, 68.1% white), aged 68.0 (± 11.4) years. Previous non-chronic LBP was reported by 240 (36.3%) participants with mean pain intensity of 3.5 ± 2.0 (ranging from 0 to 10). Current non-chronic LBP was reported by 5.7% (n = 38) with mean pain intensity of 4.1 ± 2.3. Participants reporting current non-chronic LBP had lower levels of total (β -0.18, 95% CI -0.34 to -0.02) and vigorous (β -0.29, 95% CI -0.56 to -0.007) daily PA and lower odds of meeting PA recommendations (OR 0.20, 95% CI 0.05 to 0.92) compared to those reporting no LBP. No association was observed for LBP intensity. Conversely, previous non-chronic LBP showed no statistically significant association with daily PA levels. Conclusion: The presence of current non-chronic LBP seems to be negatively associated with PA levels driven mainly by lower engagement in vigorous PA. No association was observed for pain intensity.",0,39885512,Journal,ar,Article,100,6,6,396,19621,NIA,R21AG053198,National Institute on Aging,1,TRUE,all,All Open Access,10,Epidemiology | Musculoskeletal health | Physical activity | Public health,NA,NA,NA
